dataset,stem,n_residues,n_true,marinfold_exp199,px_ss_structure,px_ss_distogram,px_msa_structure,px_msa_distogram
casp_fm,T1120-D1,118,65,0.3076923076923077,0.3538461538461538,0.3538461538461538,0.8769230769230769,0.4461538461538462
casp_fm,T1120-D2,110,64,0.234375,0.125,0.203125,0.671875,0.4375
casp_fm,T1121-D1,196,156,0.15384615384615385,0.0512820512820512,0.0833333333333333,0.8205128205128205,0.4487179487179487
casp_fm,T1122-D1,230,152,0.05921052631578947,0.3421052631578947,0.3881578947368421,0.2894736842105263,0.3881578947368421
casp_fm,T1123-D1,214,248,0.11290322580645161,0.189516129032258,0.1693548387096774,0.7137096774193549,0.4112903225806452
casp_fm,T1125-D1,134,93,0.25806451612903225,0.1075268817204301,0.1397849462365591,0.0967741935483871,0.1505376344086021
casp_fm,T1125-D2,148,137,0.1678832116788321,0.4014598540145985,0.291970802919708,0.4671532846715328,0.3211678832116788
casp_fm,T1125-D4,141,94,0.2978723404255319,0.3829787234042553,0.3723404255319149,0.4042553191489361,0.4361702127659574
casp_fm,T1125-D5,150,93,0.3118279569892473,0.2258064516129032,0.3333333333333333,0.3225806451612903,0.3763440860215054
denovo_pdb,1mj0_A,156,107,0.9252336448598131,0.9065420560747663,0.3644859813084112,0.897196261682243,0.3925233644859813
denovo_pdb,1qys_A,92,76,0.5921052631578947,0.7763157894736842,0.4473684210526316,0.7894736842105263,0.4210526315789473
denovo_pdb,1uw1_A,67,56,0.3392857142857143,0.8571428571428571,0.4285714285714285,0.8392857142857143,0.4464285714285714
denovo_pdb,2af5_A,292,251,0.5139442231075697,0.4382470119521912,0.3147410358565737,0.8725099601593626,0.4820717131474104
denovo_pdb,2avp_A,68,52,0.9807692307692307,0.9230769230769232,0.5,0.903846153846154,0.5384615384615384
denovo_pdb,2fkg_A,315,273,0.5347985347985348,0.4652014652014652,0.326007326007326,0.8901098901098901,0.4981684981684982
denovo_pdb,2fo7_A,136,113,0.911504424778761,0.9203539823008848,0.504424778761062,0.9203539823008848,0.5398230088495575
denovo_pdb,2hkd_A,315,273,0.5311355311355311,0.5164835164835165,0.3516483516483517,0.9304029304029304,0.4871794871794871
denovo_pdb,2hyz_A,136,121,0.9173553719008265,0.9421487603305784,0.5619834710743802,0.9173553719008264,0.5619834710743802
denovo_pdb,2i5v_O,246,205,0.43414634146341463,0.1317073170731707,0.1317073170731707,0.902439024390244,0.5073170731707317
denovo_pdb,2i5z_O,246,200,0.405,0.255,0.2,0.9,0.465
denovo_pdb,2p05_A,63,55,0.32727272727272727,0.8363636363636363,0.4181818181818181,0.8727272727272727,0.4181818181818181
denovo_pdb,2p09_A,69,51,0.35294117647058826,0.6470588235294118,0.4313725490196078,0.803921568627451,0.4117647058823529
denovo_pdb,2qyj_A,154,119,0.9159663865546218,0.9495798319327732,0.3697478991596639,0.9411764705882352,0.3529411764705882
denovo_pdb,2wqh_A,104,87,0.9540229885057471,0.942528735632184,0.5747126436781609,0.9195402298850576,0.5517241379310345
denovo_pdb,2xen_A,91,60,0.9166666666666666,0.95,0.35,0.95,0.35
denovo_pdb,2zgd_A,97,74,0.7837837837837838,0.7567567567567568,0.3918918918918919,0.7567567567567568,0.4189189189189189
denovo_pdb,2zgg_A,88,63,0.873015873015873,0.9047619047619048,0.3968253968253968,0.9047619047619048,0.3968253968253968
denovo_pdb,3dgl_A,69,53,0.22641509433962265,0.7358490566037735,0.4716981132075472,0.7735849056603774,0.4339622641509434
denovo_pdb,3dgm_A,69,53,0.2830188679245283,0.7169811320754716,0.4716981132075472,0.7924528301886793,0.4528301886792453
denovo_pdb,3dgn_A,69,49,0.32653061224489793,0.7142857142857143,0.4489795918367347,0.7755102040816326,0.4285714285714285
denovo_pdb,3dgo_A,69,52,0.3269230769230769,0.75,0.4615384615384615,0.8076923076923077,0.4230769230769231
denovo_pdb,3lt8_A,69,56,0.2857142857142857,0.8035714285714286,0.4642857142857143,0.7678571428571429,0.4464285714285714
denovo_pdb,3lt9_A,69,56,0.30357142857142855,0.8035714285714286,0.4642857142857143,0.75,0.4464285714285714
denovo_pdb,3lta_A,69,53,0.24528301886792453,0.7735849056603774,0.4528301886792453,0.8113207547169812,0.4150943396226415
denovo_pdb,3ltb_A,69,50,0.28,0.68,0.42,0.76,0.4
denovo_pdb,3ltc_A,69,53,0.2641509433962264,0.7169811320754716,0.4716981132075472,0.7924528301886793,0.4339622641509434
denovo_pdb,3ltd_A,69,49,0.2857142857142857,0.7346938775510204,0.3877551020408163,0.8367346938775511,0.3673469387755102
denovo_pdb,3o49_A,123,134,0.8582089552238806,0.417910447761194,0.2611940298507462,0.9552238805970148,0.4850746268656716
denovo_pdb,3o4b_A,123,145,0.8413793103448276,0.1862068965517241,0.2758620689655172,0.9655172413793104,0.503448275862069
denovo_pdb,3o4c_A,124,142,0.8450704225352113,0.1478873239436619,0.2323943661971831,0.943661971830986,0.5
denovo_pdb,3o4d_A,123,148,0.8581081081081081,0.25,0.2229729729729729,0.945945945945946,0.5067567567567568
denovo_pdb,3og3_A,242,231,0.7402597402597403,0.0779220779220779,0.1255411255411255,0.8008658008658008,0.4025974025974026
denovo_pdb,3p6i_A,127,153,0.7254901960784313,0.2026143790849673,0.2745098039215686,0.934640522875817,0.5424836601307189
denovo_pdb,3p6j_A,125,141,0.7659574468085106,0.3687943262411347,0.2836879432624113,0.5957446808510638,0.3546099290780142
denovo_pdb,3pg0_A,140,184,0.8967391304347826,0.2282608695652173,0.2391304347826087,0.9239130434782608,0.5217391304347826
denovo_pdb,3q7w_A,124,139,0.8705035971223022,0.9280575539568344,0.4964028776978417,0.920863309352518,0.4748201438848921
denovo_pdb,3q7x_A,125,130,0.8384615384615385,0.9076923076923076,0.4769230769230769,0.9230769230769232,0.4769230769230769
denovo_pdb,3q7y_A,124,137,0.8102189781021898,0.8978102189781022,0.5109489051094891,0.8978102189781022,0.5255474452554745
denovo_pdb,3qa9_A,142,144,0.7222222222222222,0.4583333333333333,0.3541666666666667,0.875,0.4791666666666667
denovo_pdb,3rfn_A,151,145,0.6068965517241379,0.193103448275862,0.193103448275862,0.9103448275862068,0.4689655172413793
denovo_pdb,3teu_A,98,74,0.8378378378378378,0.7972972972972973,0.3648648648648648,0.8243243243243243,0.3783783783783784
denovo_pdb,3v1a_A,48,24,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.7916666666666666
denovo_pdb,3v45_A,166,126,0.6746031746031746,0.3571428571428571,0.2619047619047619,0.8095238095238095,0.3015873015873015
denovo_pdb,3ww9_A,251,233,0.8197424892703863,0.8884120171673819,0.3776824034334764,0.8884120171673819,0.3905579399141631
denovo_pdb,3wwa_A,251,227,0.8061674008810573,0.8854625550660793,0.2819383259911894,0.8898678414096917,0.3788546255506608
denovo_pdb,4a29_A,247,284,0.5845070422535211,0.7147887323943662,0.4894366197183099,0.897887323943662,0.454225352112676
denovo_pdb,4d8h_A,124,126,0.3968253968253968,0.1825396825396825,0.238095238095238,0.9126984126984128,0.492063492063492
denovo_pdb,4db6_A,197,156,0.8333333333333334,0.8846153846153846,0.5512820512820513,0.8846153846153846,0.5512820512820513
denovo_pdb,4drt_A,352,317,0.6719242902208202,0.1577287066246056,0.1861198738170347,0.8359621451104101,0.4290220820189274
denovo_pdb,4dui_A,165,109,0.926605504587156,0.8532110091743119,0.3853211009174312,0.8440366972477065,0.4128440366972477
denovo_pdb,4ess_A,158,124,0.75,0.3548387096774194,0.25,0.8548387096774194,0.3225806451612903
denovo_pdb,4etj_A,164,113,0.7168141592920354,0.3274336283185841,0.2743362831858407,0.8584070796460177,0.3539823008849557
denovo_pdb,4gvw_A,192,163,0.7668711656441718,0.1104294478527607,0.1226993865030674,0.9263803680981596,0.4049079754601227
denovo_pdb,4hxt_A,247,199,0.8592964824120602,0.9045226130653268,0.4824120603015075,0.8994974874371859,0.4623115577889447
denovo_pdb,4ijb_A,244,237,0.5738396624472574,0.6877637130801688,0.4177215189873418,0.8016877637130801,0.3966244725738396
denovo_pdb,4j8y_A,157,106,0.9150943396226415,0.8867924528301887,0.3867924528301887,0.9056603773584906,0.3867924528301887
denovo_pdb,4lny_A,248,268,0.582089552238806,0.3283582089552239,0.2761194029850746,0.8694029850746269,0.4365671641791044
denovo_pdb,4lpx_A,97,70,0.7857142857142857,0.6428571428571429,0.4857142857142857,0.6571428571428571,0.4428571428571428
denovo_pdb,4lt9_A,250,236,0.5211864406779662,0.6567796610169492,0.4279661016949153,0.7330508474576272,0.4194915254237288
denovo_pdb,4n6t_A,79,83,0.8192771084337349,0.891566265060241,0.5060240963855421,0.891566265060241,0.4819277108433735
denovo_pdb,4n6u_A,79,83,0.8192771084337349,0.891566265060241,0.4698795180722891,0.891566265060241,0.4457831325301205
denovo_pdb,4ndj_A,280,285,0.14035087719298245,0.0561403508771929,0.0701754385964912,0.8280701754385965,0.4701754385964912
denovo_pdb,4nez_A,160,120,0.6333333333333333,0.2083333333333333,0.2333333333333333,0.225,0.2
denovo_pdb,4oxw_A,106,103,0.8446601941747572,0.8446601941747572,0.5533980582524272,0.8058252427184466,0.5631067961165048
denovo_pdb,4oza_A,57,43,0.5581395348837209,0.813953488372093,0.4418604651162791,0.7906976744186046,0.4418604651162791
denovo_pdb,4ozc_A,57,36,0.5833333333333334,0.9166666666666666,0.4722222222222222,0.8888888888888888,0.4722222222222222
denovo_pdb,4pjr_A,175,126,0.753968253968254,0.8412698412698413,0.5238095238095238,0.8412698412698413,0.5396825396825397
denovo_pdb,4pjs_A,175,107,0.7383177570093458,0.7570093457943925,0.4205607476635514,0.7757009345794392,0.4205607476635514
denovo_pdb,4pq8_A,241,242,0.8636363636363636,0.9380165289256198,0.5454545454545454,0.9132231404958676,0.4834710743801653
denovo_pdb,4psj_A,255,241,0.7717842323651453,0.8257261410788381,0.5020746887966805,0.8547717842323651,0.4813278008298755
denovo_pdb,4pww_A,85,87,0.7701149425287356,0.7011494252873564,0.5057471264367817,0.6781609195402298,0.5287356321839081
denovo_pdb,4qkr_A,125,141,0.8652482269503546,0.9219858156028368,0.4680851063829787,0.9078014184397164,0.4964539007092198
denovo_pdb,4qks_A,124,139,0.8489208633093526,0.2589928057553957,0.2302158273381295,0.9064748201438848,0.5323741007194245
denovo_pdb,4r5c_A,304,314,0.8662420382165605,0.9140127388535032,0.5063694267515924,0.910828025477707,0.4872611464968153
denovo_pdb,4r6f_A,329,345,0.7942028985507247,0.8289855072463768,0.472463768115942,0.9130434782608696,0.4753623188405797
denovo_pdb,4u3h_A,100,72,0.8194444444444444,0.8055555555555556,0.4444444444444444,0.8194444444444444,0.4027777777777778
denovo_pdb,4uos_A,188,149,0.6577181208053692,0.8456375838926175,0.6644295302013423,0.8456375838926175,0.6644295302013423
denovo_pdb,4wpy_A,88,42,0.5238095238095238,0.3095238095238095,0.3333333333333333,0.7857142857142857,0.2857142857142857
denovo_pdb,4wsp_A,79,41,0.6097560975609756,0.5853658536585366,0.3902439024390244,0.8292682926829268,0.2682926829268293
denovo_pdb,4yxx_A,208,180,0.5888888888888889,0.8777777777777778,0.3944444444444444,0.8833333333333333,0.3888888888888889
denovo_pdb,4yxz_A,278,191,0.4869109947643979,0.8219895287958116,0.4607329842931937,0.837696335078534,0.450261780104712
denovo_pdb,4z08_A,253,244,0.7172131147540983,0.7663934426229508,0.4180327868852459,0.9098360655737704,0.3893442622950819
denovo_pdb,5bvl_A,180,235,0.6978723404255319,0.8425531914893617,0.502127659574468,0.851063829787234,0.502127659574468
denovo_pdb,5cwb_A,197,188,0.7180851063829787,0.8617021276595744,0.5585106382978723,0.8723404255319149,0.5638297872340425
denovo_pdb,5cwc_A,196,182,0.6318681318681318,0.934065934065934,0.4065934065934066,0.9395604395604396,0.4065934065934066
denovo_pdb,5cwd_A,171,124,0.532258064516129,0.8306451612903226,0.2580645161290322,0.8306451612903226,0.25
denovo_pdb,5cwg_A,195,174,0.6264367816091954,0.896551724137931,0.4137931034482758,0.9022988505747126,0.4080459770114942
denovo_pdb,5cwh_A,159,115,0.7565217391304347,0.8695652173913043,0.5478260869565217,0.8695652173913043,0.5565217391304348
denovo_pdb,5cwi_A,233,170,0.5058823529411764,0.8588235294117647,0.3058823529411765,0.8705882352941177,0.3
denovo_pdb,5cwj_A,160,157,0.7961783439490446,0.8980891719745223,0.4840764331210191,0.8853503184713376,0.4840764331210191
denovo_pdb,5cwk_A,172,149,0.8456375838926175,0.9261744966442952,0.5033557046979866,0.9328859060402684,0.4899328859060403
denovo_pdb,5cwm_A,226,206,0.7912621359223301,0.8495145631067961,0.3446601941747573,0.8592233009708737,0.3398058252427184
denovo_pdb,5cwn_A,207,165,0.7818181818181819,0.9151515151515152,0.3212121212121212,0.9151515151515152,0.3090909090909091
denovo_pdb,5cwp_A,229,204,0.29411764705882354,0.8970588235294118,0.4166666666666667,0.8872549019607843,0.3970588235294117
denovo_pdb,5cwq_A,233,239,0.7824267782426778,0.8661087866108786,0.4769874476987448,0.8619246861924686,0.4728033472803347
denovo_pdb,5d2t_A,251,244,0.6926229508196722,0.7909836065573771,0.4098360655737705,0.8975409836065574,0.3852459016393442
denovo_pdb,5d2v_A,251,236,0.7076271186440678,0.7711864406779662,0.3898305084745763,0.9067796610169492,0.3898305084745763
denovo_pdb,5d2w_A,250,246,0.7113821138211383,0.7845528455284553,0.4268292682926829,0.9105691056910568,0.3983739837398374
denovo_pdb,5d2x_A,250,257,0.6848249027237354,0.3929961089494163,0.2801556420233463,0.9182879377431906,0.4163424124513619
denovo_pdb,5d2y_A,250,254,0.6456692913385826,0.2913385826771653,0.2519685039370078,0.9094488188976378,0.4094488188976378
denovo_pdb,5d30_A,250,269,0.6802973977695167,0.3754646840148699,0.3048327137546468,0.8884758364312267,0.4386617100371747
denovo_pdb,5di5_A,191,151,0.8211920529801324,0.933774834437086,0.4701986754966887,0.9205298013245032,0.5496688741721855
denovo_pdb,5dra_A,190,167,0.844311377245509,0.8562874251497006,0.4790419161676646,0.9101796407185628,0.4790419161676646
denovo_pdb,5f53_A,84,57,0.8070175438596491,0.2631578947368421,0.1403508771929824,0.8947368421052632,0.3859649122807017
denovo_pdb,5hrz_A,122,105,0.9523809523809523,0.9428571428571428,0.4952380952380952,0.9428571428571428,0.5142857142857142
denovo_pdb,5ieo_A,118,102,0.7647058823529411,0.0392156862745098,0.0196078431372549,0.8725490196078431,0.5490196078431373
denovo_pdb,5iep_A,121,100,0.82,0.13,0.12,0.86,0.56
denovo_pdb,5j0i_A,73,27,0.5555555555555556,0.7037037037037037,0.4074074074074074,0.8148148148148148,0.4074074074074074
denovo_pdb,5l0p_A,311,299,0.42474916387959866,0.1906354515050167,0.2107023411371237,0.6956521739130435,0.4280936454849498
denovo_pdb,5l33_A,106,119,0.8151260504201681,0.8991596638655462,0.6050420168067226,0.9243697478991596,0.6134453781512605
denovo_pdb,5le4_A,313,229,0.8908296943231441,0.8951965065502183,0.4323144104803493,0.9039301310043668,0.4497816593886463
denovo_pdb,5le9_A,315,233,0.8454935622317596,0.8369098712446352,0.4334763948497854,0.8583690987124464,0.4377682403433476
denovo_pdb,5lea_A,316,225,0.8888888888888888,0.88,0.4266666666666667,0.8888888888888888,0.44
denovo_pdb,5lw2_A,155,112,0.875,0.8928571428571429,0.4017857142857143,0.9107142857142856,0.3928571428571428
denovo_pdb,5od1_A,94,57,0.7543859649122807,0.7017543859649122,0.631578947368421,0.6666666666666666,0.631578947368421
denovo_pdb,5oos_A,161,122,0.8770491803278688,0.8852459016393442,0.3688524590163934,0.8934426229508197,0.3770491803278688
denovo_pdb,5oou_A,165,120,0.85,0.85,0.3583333333333333,0.875,0.3583333333333333
denovo_pdb,5op3_A,157,111,0.8918918918918919,0.8738738738738738,0.4234234234234234,0.8738738738738738,0.4234234234234234
denovo_pdb,5orm_A,350,231,0.7489177489177489,0.7705627705627706,0.3852813852813853,0.7748917748917749,0.4285714285714285
denovo_pdb,5trv_A,118,113,0.7345132743362832,0.6460176991150443,0.415929203539823,0.7610619469026548,0.504424778761062
denovo_pdb,5vjs_A,196,155,0.567741935483871,0.8516129032258064,0.6193548387096774,0.8709677419354839,0.6
denovo_pdb,5vjt_A,196,163,0.5398773006134969,0.8588957055214724,0.656441717791411,0.8895705521472392,0.6441717791411042
denovo_pdb,5vju_A,196,152,0.5,0.8092105263157895,0.625,0.7828947368421053,0.6052631578947368
denovo_pdb,5vnv_A,120,116,0.7672413793103449,0.1206896551724138,0.1551724137931034,0.7931034482758621,0.4482758620689655
denovo_pdb,5xg5_A,145,180,0.7944444444444444,0.1666666666666666,0.1888888888888888,0.95,0.5055555555555555
denovo_pdb,5ys7_A,315,274,0.5547445255474452,0.5620437956204379,0.3941605839416058,0.8978102189781022,0.5
denovo_pdb,6ais_O,244,204,0.46568627450980393,0.284313725490196,0.2058823529411764,0.8970588235294118,0.4754901960784313
denovo_pdb,6ds9_A,93,87,0.6551724137931034,0.9310344827586208,0.7126436781609196,0.9540229885057472,0.7126436781609196
denovo_pdb,6ee5_A,352,369,0.7317073170731707,0.2845528455284553,0.2520325203252032,0.8292682926829268,0.4552845528455284
denovo_pdb,6egc_A,147,159,0.7924528301886793,0.89937106918239,0.660377358490566,0.8805031446540881,0.6540880503144654
denovo_pdb,6f0s_A,251,199,0.7788944723618091,0.9045226130653268,0.321608040201005,0.9195979899497488,0.3467336683417085
denovo_pdb,6ff6_A,222,194,0.7371134020618557,0.2371134020618556,0.2010309278350515,0.7989690721649485,0.6907216494845361
denovo_pdb,6fpb_A,160,114,0.8947368421052632,0.9210526315789472,0.3859649122807017,0.9298245614035088,0.4035087719298245
denovo_pdb,6g6m_A,320,323,0.8111455108359134,0.9102167182662538,0.3962848297213622,0.8606811145510835,0.3808049535603715
denovo_pdb,6g6p_A,318,324,0.7314814814814815,0.7777777777777778,0.3055555555555556,0.7746913580246914,0.3086419753086419
denovo_pdb,6i37_A,251,205,0.7804878048780488,0.8975609756097561,0.3024390243902439,0.902439024390244,0.3170731707317073
denovo_pdb,6i38_A,251,211,0.7867298578199052,0.914691943127962,0.3554502369668246,0.9004739336492891,0.3744075829383886
denovo_pdb,6i39_A,251,202,0.7871287128712872,0.9306930693069309,0.3415841584158416,0.905940594059406,0.3564356435643564
denovo_pdb,6i3a_A,251,211,0.7393364928909952,0.1943127962085308,0.1421800947867298,0.8862559241706162,0.3791469194312796
denovo_pdb,6ics_O,242,203,0.4729064039408867,0.2857142857142857,0.2068965517241379,0.9211822660098522,0.4630541871921182
denovo_pdb,6idc_A,251,172,0.47674418604651164,0.2267441860465116,0.2209302325581395,0.8255813953488372,0.4302325581395348
denovo_pdb,6iei_A,250,169,0.5088757396449705,0.2307692307692307,0.1893491124260355,0.8047337278106509,0.4260355029585799
denovo_pdb,6jcc_A,97,79,0.4936708860759494,0.6962025316455697,0.6455696202531646,0.7974683544303798,0.6708860759493671
denovo_pdb,6mrr_A,68,54,0.6481481481481481,0.8888888888888888,0.5925925925925926,0.8888888888888888,0.5925925925925926
denovo_pdb,6mrs_A,77,66,0.7727272727272727,0.8484848484848485,0.5757575757575758,0.8484848484848485,0.5909090909090909
denovo_pdb,6n9h_A,75,39,0.8205128205128205,0.8461538461538461,0.717948717948718,0.8461538461538461,0.717948717948718
denovo_pdb,6naf_A,74,35,0.8,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143
denovo_pdb,6nek_A,86,32,0.46875,0.40625,0.28125,0.4375,0.34375
denovo_pdb,6nla_A,56,34,0.7941176470588235,0.8529411764705882,0.4411764705882353,0.7941176470588235,0.4411764705882353
denovo_pdb,6qb2_A,95,104,0.4519230769230769,0.5096153846153846,0.4038461538461538,0.8173076923076923,0.5096153846153846
denovo_pdb,6qsd_A,250,222,0.8018018018018018,0.9234234234234234,0.3513513513513513,0.918918918918919,0.3828828828828828
denovo_pdb,6qse_A,251,201,0.7761194029850746,0.900497512437811,0.3283582089552239,0.9253731343283582,0.3432835820895522
denovo_pdb,6qsg_A,251,203,0.8177339901477833,0.9261083743842364,0.334975369458128,0.9458128078817734,0.3497536945812808
denovo_pdb,6qsh_A,246,212,0.7924528301886793,0.8537735849056604,0.2877358490566037,0.8773584905660378,0.3066037735849056
denovo_pdb,6rej_A,250,223,0.8071748878923767,0.9147982062780268,0.3228699551569506,0.9237668161434978,0.3542600896860987
denovo_pdb,6rek_A,251,224,0.8125,0.8839285714285714,0.3303571428571428,0.8928571428571429,0.3616071428571428
denovo_pdb,6rem_A,251,223,0.7937219730941704,0.8834080717488789,0.3452914798206278,0.8789237668161435,0.3677130044843049
denovo_pdb,6reo_A,251,205,0.7902439024390244,0.902439024390244,0.3317073170731707,0.8731707317073171,0.3658536585365853
denovo_pdb,6rlh_A,248,214,0.8084112149532711,0.2149532710280373,0.1121495327102803,0.897196261682243,0.3551401869158878
denovo_pdb,6rli_A,250,214,0.794392523364486,0.8598130841121495,0.322429906542056,0.9065420560747663,0.3411214953271028
denovo_pdb,6sa6_A,395,313,0.7987220447284346,0.853035143769968,0.4185303514376997,0.8626198083067093,0.4249201277955272
denovo_pdb,6tjg_A,320,357,0.865546218487395,0.927170868347339,0.4593837535014005,0.9299719887955182,0.4369747899159664
denovo_pdb,6veh_A,180,128,0.7890625,0.046875,0.078125,0.7578125,0.3828125
denovo_pdb,6w3w_A,107,108,0.7592592592592593,0.8981481481481481,0.5092592592592593,0.9166666666666666,0.5092592592592593
denovo_pdb,6w90_A,130,128,0.71875,0.703125,0.4453125,0.6796875,0.4140625
denovo_pdb,6wvs_A,182,196,0.7193877551020408,0.8928571428571429,0.5408163265306123,0.8877551020408163,0.5459183673469388
denovo_pdb,6x9z_A,120,105,0.7523809523809524,0.9047619047619048,0.2666666666666666,0.819047619047619,0.2761904761904762
