target_id,eval_set,arm,n_pred,n_true,precision,recall
8ou1_A,eval-test,v2ss,122,144,0.098361,0.083333
8ovq_A,eval-test,v2ss,203,177,0.152709,0.175141
8ovu_A,eval-test,v2ss,92,81,0.619565,0.703704
8ow8_A,eval-test,v2ss,489,467,0.05317,0.055675
8oxk_A,eval-test,v2ss,93,95,0.096774,0.094737
8oxl_A,eval-test,v2ss,83,98,0.204819,0.173469
8p0e_A,eval-test,v2ss,139,151,0.23741,0.218543
8p2a_A,eval-test,v2ss,56,47,0.535714,0.638298
8p5p_A,eval-test,v2ss,121,120,0.066116,0.066667
8p5n_A,eval-test,v2ss,125,135,0.2,0.185185
7wu8_A,eval-test,v2ss,56,54,0.660714,0.685185
8pak_A,eval-test,v2ss,331,349,0.07855,0.074499
8paq_A,eval-test,v2ss,98,105,0.173469,0.161905
8pb5_A,eval-test,v2ss,367,348,0.188011,0.198276
8ptd_A,eval-test,v2ss,429,424,0.717949,0.726415
8pu2_A,eval-test,v2ss,58,47,0.224138,0.276596
8pvs_A,eval-test,v2ss,940,959,0.611702,0.599583
8pw2_A,eval-test,v2ss,46,48,0.913043,0.875
8pxc_A,eval-test,v2ss,255,257,0.156863,0.155642
8pxu_A,eval-test,v2ss,810,766,0.246914,0.261097
8q1v_A,eval-test,v2ss,52,48,0.096154,0.104167
8qb1_A,eval-test,v2ss,73,76,0.835616,0.802632
8qd8_A,eval-test,v2ss,505,472,0.368317,0.394068
8qjp_A,eval-test,v2ss,248,229,0.032258,0.034934
8qlc_A,eval-test,v2ss,815,653,0.144785,0.180704
8qoh_A,eval-test,v2ss,315,266,0.038095,0.045113
8qpj_A,eval-test,v2ss,302,294,0.149007,0.153061
8qq1_A,eval-test,v2ss,257,244,0.361868,0.381148
8qx6_A,eval-test,v2ss,174,181,0.522989,0.502762
8r2c_A,eval-test,v2ss,200,184,0.095,0.103261
8r5n_A,eval-test,v2ss,187,185,0.042781,0.043243
8rcw_A,eval-test,v2ss,206,203,0.325243,0.330049
8rdd_A,eval-test,v2ss,164,156,0.25,0.262821
8re3_A,eval-test,v2ss,565,510,0.19292,0.213725
8rom_A,eval-test,v2ss,191,180,0.073298,0.077778
8an4_A,eval-test,v2ss,158,172,0.025316,0.023256
8qnf_A,eval-test,v2ss,503,474,0.284294,0.301688
8s5b_A,eval-test,v2ss,396,407,0.090909,0.088452
8s9l_A,eval-test,v2ss,299,243,0.107023,0.131687
8sot_A,eval-test,v2ss,88,89,0.136364,0.134831
8spc_A,eval-test,v2ss,345,327,0.028986,0.030581
8suc_A,eval-test,v2ss,288,269,0.642361,0.687732
8sv7_A,eval-test,v2ss,310,286,0.096774,0.104895
8sx0_A,eval-test,v2ss,89,105,0.876404,0.742857
8sxs_A,eval-test,v2ss,108,107,0.305556,0.308411
8gm7_A,eval-test,v2ss,193,186,0.243523,0.252688
8t27_A,eval-test,v2ss,636,621,0.553459,0.566828
8t2j_A,eval-test,v2ss,333,356,0.102102,0.095506
8t41_A,eval-test,v2ss,992,979,0.09375,0.094995
8t4c_A,eval-test,v2ss,120,160,0.108333,0.08125
8t5t_A,eval-test,v2ss,200,196,0.315,0.321429
8t8k_A,eval-test,v2ss,161,183,0.906832,0.797814
8t93_A,eval-test,v2ss,255,213,0.035294,0.042254
8t9n_A,eval-test,v2ss,119,140,0.226891,0.192857
8te9_A,eval-test,v2ss,351,352,0.045584,0.045455
8tfo_A,eval-test,v2ss,427,397,0.128806,0.138539
8tfs_A,eval-test,v2ss,119,118,0.260504,0.262712
8hic_A,eval-test,v2ss,463,479,0.267819,0.258873
8ti5_A,eval-test,v2ss,107,117,0.121495,0.111111
8tjg_A,eval-test,v2ss,285,261,0.185965,0.203065
8tru_A,eval-test,v2ss,458,448,0.100437,0.102679
8tse_A,eval-test,v2ss,528,470,0.079545,0.089362
8tuk_A,eval-test,v2ss,330,302,0.29697,0.324503
8tw1_A,eval-test,v2ss,302,272,0.211921,0.235294
8tyh_A,eval-test,v2ss,407,331,0.149877,0.18429
8u0x_A,eval-test,v2ss,196,152,0.020408,0.026316
8u2f_A,eval-test,v2ss,148,145,0.162162,0.165517
8ubs_A,eval-test,v2ss,172,162,0.174419,0.185185
8uds_A,eval-test,v2ss,113,106,0.106195,0.113208
8tls_A,eval-test,v2ss,97,84,0.57732,0.666667
8ujw_A,eval-test,v2ss,157,156,0.089172,0.089744
8uk7_A,eval-test,v2ss,106,102,0.773585,0.803922
8upi_A,eval-test,v2ss,577,575,0.22357,0.224348
8ux2_A,eval-test,v2ss,244,216,0.114754,0.12963
8v3m_A,eval-test,v2ss,683,611,0.052709,0.05892
8v6t_A,eval-test,v2ss,183,166,0.256831,0.283133
8vcw_A,eval-test,v2ss,341,383,0.316716,0.281984
8vh7_A,eval-test,v2ss,693,640,0.092352,0.1
8vpo_A,eval-test,v2ss,534,508,0.265918,0.279528
8vqk_A,eval-test,v2ss,443,391,0.060948,0.069054
8w6v_A,eval-test,v2ss,634,601,0.025237,0.026622
8w7p_A,eval-test,v2ss,277,277,0.072202,0.072202
8wac_A,eval-test,v2ss,116,123,0.448276,0.422764
8wae_A,eval-test,v2ss,104,95,0.865385,0.947368
8wc1_A,eval-test,v2ss,161,146,0.372671,0.410959
8wcf_A,eval-test,v2ss,154,161,0.142857,0.136646
8whj_A,eval-test,v2ss,230,220,0.817391,0.854545
8whn_A,eval-test,v2ss,119,107,0.336134,0.373832
8wik_A,eval-test,v2ss,339,348,0.138643,0.135057
8wj5_A,eval-test,v2ss,160,132,0.0875,0.106061
8kbl_A,eval-test,v2ss,86,84,0.255814,0.261905
8wnj_A,eval-test,v2ss,1082,1140,0.083179,0.078947
8wrx_A,eval-test,v2ss,79,78,0.734177,0.74359
8wt3_A,eval-test,v2ss,105,116,0.161905,0.146552
8wim_A,eval-test,v2ss,617,709,0.053485,0.046544
8x7c_A,eval-test,v2ss,442,407,0.031674,0.034398
8xf9_A,eval-test,v2ss,304,273,0.075658,0.084249
8xif_A,eval-test,v2ss,231,233,0.199134,0.197425
8xjg_A,eval-test,v2ss,110,109,0.909091,0.917431
8xpk_A,eval-test,v2ss,304,317,0.098684,0.094637
8y9p_A,eval-test,v2ss,167,200,0.341317,0.285
8ye0_A,eval-test,v2ss,325,326,0.049231,0.04908
8wqn_A,eval-test,v2ss,157,159,0.050955,0.050314
8yxk_A,eval-test,v2ss,137,132,0.116788,0.121212
8z4q_A,eval-test,v2ss,548,545,0.069343,0.069725
8hel_A,eval-test,v2ss,42,40,0.095238,0.1
8zqf_A,eval-test,v2ss,209,211,0.272727,0.270142
9aue_A,eval-test,v2ss,456,361,0.078947,0.099723
9azz_A,eval-test,v2ss,209,175,0.229665,0.274286
9b1u_A,eval-test,v2ss,302,303,0.066225,0.066007
9bks_A,eval-test,v2ss,66,74,0.515152,0.459459
9bjx_A,eval-test,v2ss,511,420,0.293542,0.357143
9cfj_A,eval-test,v2ss,265,272,0.256604,0.25
9crn_A,eval-test,v2ss,407,395,0.228501,0.235443
9d91_A,eval-test,v2ss,299,287,0.474916,0.494774
9etn_A,eval-test,v2ss,628,649,0.501592,0.485362
9evq_A,eval-test,v2ss,239,213,0.079498,0.089202
9fce_A,eval-test,v2ss,217,197,0.101382,0.111675
9fgp_A,eval-test,v2ss,147,168,0.170068,0.14881
9f9u_A,eval-test,v2ss,167,186,0.60479,0.543011
9fow_A,eval-test,v2ss,124,137,0.024194,0.021898
9fym_A,eval-test,v2ss,354,403,0.231638,0.203474
9gso_A,eval-test,v2ss,175,156,0.114286,0.128205
9ijc_A,eval-test,v2ss,367,371,0.070845,0.070081
9iuh_A,eval-test,v2ss,513,457,0.076023,0.085339
9j0v_A,eval-test,v2ss,262,224,0.019084,0.022321
9jq9_A,eval-test,v2ss,202,176,0.232673,0.267045
7qp5_A,eval-val,v2ss,255,241,0.07451,0.078838
7qsj_A,eval-val,v2ss,344,347,0.299419,0.29683
7tlh_A,eval-val,v2ss,86,114,0.05814,0.04386
7tjb_A,eval-val,v2ss,208,201,0.475962,0.492537
7uba_A,eval-val,v2ss,210,208,0.028571,0.028846
7uk8_A,eval-val,v2ss,525,526,0.108571,0.108365
7ur2_A,eval-val,v2ss,148,137,0.189189,0.20438
7urp_A,eval-val,v2ss,144,134,0.104167,0.11194
7uvg_A,eval-val,v2ss,192,178,0.104167,0.11236
7uww_A,eval-val,v2ss,854,693,0.142857,0.176046
7v3o_A,eval-val,v2ss,280,272,0.1,0.102941
7w15_A,eval-val,v2ss,368,303,0.100543,0.122112
7y3h_A,eval-val,v2ss,340,312,0.194118,0.211538
7wz5_A,eval-val,v2ss,125,113,0.096,0.106195
7wzm_A,eval-val,v2ss,489,456,0.259714,0.278509
7x4p_A,eval-val,v2ss,347,333,0.126801,0.132132
7x3h_A,eval-val,v2ss,332,296,0.126506,0.141892
7x8l_A,eval-val,v2ss,582,580,0.054983,0.055172
7xcd_A,eval-val,v2ss,122,148,0.131148,0.108108
7xg9_A,eval-val,v2ss,282,241,0.446809,0.522822
7xi5_A,eval-val,v2ss,27,42,0.111111,0.071429
7xp9_A,eval-val,v2ss,45,45,0.355556,0.355556
8ycm_A,eval-val,v2ss,229,196,0.100437,0.117347
7xq4_A,eval-val,v2ss,448,472,0.660714,0.627119
7xrx_A,eval-val,v2ss,384,396,0.25,0.242424
7xjr_A,eval-val,v2ss,335,354,0.250746,0.237288
7xyr_A,eval-val,v2ss,724,707,0.190608,0.195191
7xz3_A,eval-val,v2ss,336,316,0.080357,0.085443
7y4h_A,eval-val,v2ss,339,320,0.342183,0.3625
7y54_A,eval-val,v2ss,97,105,0.14433,0.133333
7y5m_A,eval-val,v2ss,146,148,0.041096,0.040541
7y5r_A,eval-val,v2ss,99,97,0.69697,0.71134
7y8h_A,eval-val,v2ss,80,83,0.4875,0.46988
7y8i_A,eval-val,v2ss,72,83,0.472222,0.409639
7y5j_A,eval-val,v2ss,90,91,0.144444,0.142857
7yd4_A,eval-val,v2ss,154,142,0.162338,0.176056
7yhr_A,eval-val,v2ss,39,41,0.282051,0.268293
7ykm_A,eval-val,v2ss,66,55,0.666667,0.8
7ylr_A,eval-val,v2ss,378,364,0.28836,0.299451
8gmy_A,eval-val,v2ss,217,254,0.082949,0.070866
7yug_A,eval-val,v2ss,99,94,0.424242,0.446809
7yyg_A,eval-val,v2ss,238,221,0.281513,0.303167
7z65_A,eval-val,v2ss,341,320,0.178886,0.190625
7znz_A,eval-val,v2ss,970,932,0.312371,0.325107
7zoi_A,eval-val,v2ss,127,110,0.212598,0.245455
7zs2_A,eval-val,v2ss,270,223,0.203704,0.246637
7zu3_A,eval-val,v2ss,103,92,0.514563,0.576087
7zv1_A,eval-val,v2ss,84,111,0.261905,0.198198
8adc_A,eval-val,v2ss,192,170,0.359375,0.405882
8add_A,eval-val,v2ss,213,210,0.079812,0.080952
8akh_A,eval-val,v2ss,338,321,0.192308,0.202492
8ak2_A,eval-val,v2ss,339,314,0.050147,0.05414
8arl_A,eval-val,v2ss,276,260,0.126812,0.134615
8q8i_A,eval-val,v2ss,385,376,0.041558,0.042553
8au6_A,eval-val,v2ss,194,168,0.139175,0.160714
8axj_A,eval-val,v2ss,145,143,0.068966,0.06993
8azb_A,eval-val,v2ss,690,587,0.215942,0.253833
8b2e_A,eval-val,v2ss,76,130,0.171053,0.1
8b2g_A,eval-val,v2ss,56,59,0.089286,0.084746
8b2s_A,eval-val,v2ss,208,186,0.163462,0.182796
8b4u_A,eval-val,v2ss,275,273,0.167273,0.168498
8b5w_A,eval-val,v2ss,326,370,0.064417,0.056757
8b61_A,eval-val,v2ss,224,212,0.15625,0.165094
8b6a_A,eval-val,v2ss,183,195,0.092896,0.087179
8b6e_A,eval-val,v2ss,43,44,0.744186,0.727273
8baq_A,eval-val,v2ss,221,190,0.040724,0.047368
8bau_A,eval-val,v2ss,202,209,0.049505,0.047847
8bfy_A,eval-val,v2ss,392,359,0.130102,0.142061
8bgb_A,eval-val,v2ss,98,101,0.438776,0.425743
8bke_A,eval-val,v2ss,518,494,0.631274,0.661943
8bsb_A,eval-val,v2ss,122,115,0.737705,0.782609
8bux_A,eval-val,v2ss,233,240,0.090129,0.0875
8c4d_A,eval-val,v2ss,215,229,0.395349,0.371179
7xlz_A,eval-val,v2ss,308,265,0.126623,0.14717
8c4y_A,eval-val,v2ss,349,373,0.160458,0.150134
8cba_A,eval-val,v2ss,233,245,0.236052,0.22449
8ci9_A,eval-val,v2ss,314,337,0.076433,0.071217
8cih_A,eval-val,v2ss,145,158,0.613793,0.563291
8amo_A,eval-val,v2ss,378,362,0.198413,0.207182
8cpk_A,eval-val,v2ss,329,353,0.717325,0.668555
8cpn_A,eval-val,v2ss,167,168,0.161677,0.160714
8d2z_A,eval-val,v2ss,348,312,0.425287,0.474359
8daj_A,eval-val,v2ss,315,299,0.307937,0.324415
8dez_A,eval-val,v2ss,165,182,0.393939,0.357143
8dge_A,eval-val,v2ss,1042,914,0.116123,0.132385
8dhj_A,eval-val,v2ss,268,267,0.078358,0.078652
8dmu_A,eval-val,v2ss,611,571,0.080196,0.085814
8dp9_A,eval-val,v2ss,127,146,0.047244,0.041096
8dqd_A,eval-val,v2ss,399,395,0.192982,0.194937
8dx0_A,eval-val,v2ss,131,135,0.236641,0.22963
8e0r_A,eval-val,v2ss,583,496,0.09777,0.114919
8e5h_A,eval-val,v2ss,353,344,0.379603,0.389535
8eb9_A,eval-val,v2ss,55,71,0.054545,0.042254
8ec3_A,eval-val,v2ss,108,126,0.398148,0.34127
8eo5_A,eval-val,v2ss,281,253,0.113879,0.126482
