target_id,eval_set,arm,numbering,lddt,tm_score,gdt_ts,rmsd,n_matched_atoms,residue_identity
8jjq_A,eval-test,esmfold,prompt,0.861827,0.960263,0.86215,0.8551,2405,1.0
8fib_A,eval-test,esmfold,prompt,0.838884,0.952704,0.799043,1.101525,3256,1.0
8fr5_A,eval-test,esmfold,prompt,0.813458,0.903853,0.866848,1.00677,736,1.0
8fty_A,eval-test,esmfold,prompt,0.892378,0.992457,0.973602,0.399377,3835,1.0
8h2f_A,eval-test,esmfold,prompt,0.899105,0.976083,0.962209,0.530035,1405,1.0
8fz8_A,eval-test,esmfold,prompt,0.834453,0.956992,0.832051,0.975868,3070,1.0
8fz9_A,eval-test,esmfold,prompt,0.819695,0.905534,0.823529,1.205361,1071,1.0
8g0n_A,eval-test,esmfold,prompt,0.900065,0.98236,0.957645,0.483803,1914,1.0
8g1l_A,eval-test,esmfold,prompt,0.716749,0.884901,0.717262,2.434242,1918,1.0
8g1y_A,eval-test,esmfold,prompt,0.904834,0.988359,0.944556,0.510292,3789,0.9798
8g32_A,eval-test,esmfold,prompt,0.635065,0.816155,0.5237,6.197422,2515,1.0
8g52_A,eval-test,esmfold,prompt,0.88002,0.978587,0.941756,0.679852,2153,1.0
8g53_A,eval-test,esmfold,prompt,0.860908,0.943645,0.881793,0.910584,1358,1.0
8g5u_A,eval-test,esmfold,prompt,0.841739,0.974999,0.922557,1.021204,3715,1.0
8g64_A,eval-test,esmfold,prompt,0.879731,0.956966,0.91716,0.818075,1352,1.0
8gbe_A,eval-test,esmfold,prompt,0.32153,0.279169,0.021951,10.880289,1657,1.0
8gdl_A,eval-test,esmfold,prompt,0.848281,0.976972,0.900704,0.631858,2726,1.0
8gj9_A,eval-test,esmfold,prompt,0.872826,0.939873,0.979839,0.526611,492,1.0
8gjw_A,eval-test,esmfold,prompt,0.840049,0.970538,0.908237,0.757895,2857,1.0
8gjy_A,eval-test,esmfold,prompt,0.779545,0.897857,0.702762,1.781197,2852,1.0
8gkd_A,eval-test,esmfold,prompt,0.851777,0.976347,0.927762,0.71569,2829,1.0
8gok_A,eval-test,esmfold,prompt,0.611396,0.734536,0.430403,4.682604,2207,1.0
8gr7_A,eval-test,esmfold,prompt,0.886961,0.988045,0.961656,0.423348,2622,1.0
8gsy_A,eval-test,esmfold,prompt,0.817754,0.944621,0.90873,0.666483,993,1.0
8gqq_A,eval-test,esmfold,prompt,0.855016,0.89118,0.583333,2.826936,761,1.0
8gtz_A,eval-test,esmfold,prompt,0.84246,0.967565,0.847944,0.916698,3600,1.0
8h02_A,eval-test,esmfold,prompt,0.877983,0.951729,0.955696,0.452478,597,1.0
8h5s_A,eval-test,esmfold,prompt,0.84961,0.793223,0.505061,2.140568,1846,0.9798
8hbt_A,eval-test,esmfold,prompt,0.816609,0.963598,0.896172,1.009012,3399,1.0
8hd2_A,eval-test,esmfold,prompt,0.863966,0.967421,0.90207,0.911397,2571,1.0
8he1_A,eval-test,esmfold,prompt,0.920098,0.986,0.972222,0.407123,1794,1.0
8axs_A,eval-test,esmfold,prompt,0.715131,0.926906,0.6863,1.571311,4507,1.0
8hnq_A,eval-test,esmfold,prompt,0.868513,0.956192,0.787587,2.474404,2210,1.0
8hvd_A,eval-test,esmfold,prompt,0.874699,0.979708,0.885797,0.758545,4598,1.0
7xhz_A,eval-test,esmfold,prompt,0.823462,0.913044,0.757576,1.215195,1844,0.9784
8hw8_A,eval-test,esmfold,prompt,0.922719,0.992784,0.981595,0.328861,2502,1.0
8hxs_A,eval-test,esmfold,prompt,0.813245,0.900838,0.85,0.960434,786,1.0
8ii8_A,eval-test,esmfold,prompt,0.580509,0.673525,0.333333,4.197791,1656,1.0
8ikx_A,eval-test,esmfold,prompt,0.866622,0.971412,0.921795,0.857148,2905,1.0
8ini_A,eval-test,esmfold,prompt,0.28477,0.300404,0.081579,8.5529,767,1.0
8iqc_A,eval-test,esmfold,prompt,0.883693,0.983844,0.970133,0.458745,1714,1.0
8irq_A,eval-test,esmfold,prompt,0.881392,0.9717,0.956667,0.515764,1194,1.0
8iym_A,eval-test,esmfold,prompt,0.871958,0.934555,0.904839,1.117542,1216,1.0
8j2n_A,eval-test,esmfold,prompt,0.899034,0.991999,0.987448,0.299416,1961,1.0
8j2x_A,eval-test,esmfold,prompt,0.876243,0.958382,0.85089,0.873186,2538,1.0
8jb3_A,eval-test,esmfold,prompt,0.804865,0.914855,0.744033,1.916666,3368,0.9928
7wr2_A,eval-test,esmfold,prompt,0.874931,0.964658,0.952206,0.541906,1088,1.0
8j8y_A,eval-test,esmfold,prompt,0.739781,0.842077,0.689922,1.835509,1010,1.0
8j9r_A,eval-test,esmfold,prompt,0.746368,0.845456,0.788194,1.445987,567,1.0
8jdg_A,eval-test,esmfold,prompt,0.868301,0.980303,0.901316,0.638361,3413,1.0
8jh8_A,eval-test,esmfold,prompt,0.886633,0.979994,0.96281,0.522635,1841,1.0
8jiy_A,eval-test,esmfold,prompt,0.668627,0.829995,0.444444,4.124657,1706,1.0
8jmy_A,eval-test,esmfold,prompt,0.869133,0.908169,0.662109,2.212547,1015,1.0
8jn0_A,eval-test,esmfold,prompt,0.908791,0.973431,0.983146,0.369686,736,1.0
8jup_A,eval-test,esmfold,prompt,0.869049,0.94218,0.895833,1.857141,2179,0.9688
8jv2_A,eval-test,esmfold,prompt,0.884285,0.965977,0.84375,0.78073,2766,1.0
8jws_A,eval-test,esmfold,prompt,0.860444,0.948297,0.923077,0.578095,933,1.0
8cjd_A,eval-test,esmfold,prompt,0.516385,0.704377,0.261417,8.641102,5264,1.0
8k2g_A,eval-test,esmfold,prompt,0.829073,0.961101,0.863366,1.32244,4030,1.0
8k2k_A,eval-test,esmfold,prompt,0.869252,0.983174,0.951796,0.749975,4302,1.0
8k2m_A,eval-test,esmfold,prompt,0.86163,0.98177,0.927996,0.747023,4530,1.0
8k4m_A,eval-test,esmfold,prompt,0.302663,0.290683,0.042339,9.505874,1033,1.0
8k5j_A,eval-test,esmfold,prompt,0.791238,0.918881,0.707816,1.464745,3207,1.0
8k7x_A,eval-test,esmfold,prompt,0.775833,0.933371,0.795319,2.274058,5227,1.0
8kg4_A,eval-test,esmfold,prompt,0.906543,0.971994,0.916038,1.561349,2019,1.0
8xrh_A,eval-test,esmfold,prompt,0.802442,0.949296,0.832905,1.385269,2973,1.0
8khv_A,eval-test,esmfold,prompt,0.899097,0.949917,0.708981,1.145021,4529,1.0
8kih_A,eval-test,esmfold,prompt,0.857981,0.96999,0.909794,0.721137,2310,1.0
8ok3_A,eval-test,esmfold,prompt,0.73283,0.834134,0.704545,1.426237,911,1.0
8oqh_A,eval-test,esmfold,prompt,0.889369,0.900727,0.700617,2.052142,612,1.0
8ork_A,eval-test,esmfold,prompt,0.805276,0.881648,0.557609,1.949398,3553,0.9739
8os2_A,eval-test,esmfold,prompt,0.821403,0.875181,0.530488,3.977518,944,1.0
8owf_A,eval-test,esmfold,prompt,0.77414,0.827469,0.404973,4.110685,4468,1.0
8osz_A,eval-test,esmfold,prompt,0.854276,0.953422,0.917683,1.229593,1946,0.9919
8ou1_A,eval-test,esmfold,prompt,0.836997,0.955516,0.931338,0.599695,1074,1.0
8ovq_A,eval-test,esmfold,prompt,0.604982,0.529489,0.225962,4.679904,1493,1.0
8ovu_A,eval-test,esmfold,prompt,0.903063,0.951981,0.891414,1.137289,756,1.0
8ow8_A,eval-test,esmfold,prompt,0.493906,0.683511,0.218204,6.515276,3218,1.0
8oxk_A,eval-test,esmfold,prompt,0.595357,0.712383,0.56117,2.383085,765,1.0
8oxl_A,eval-test,esmfold,prompt,0.310188,0.36293,0.119565,6.139462,748,1.0
8p0e_A,eval-test,esmfold,prompt,0.893025,0.969435,0.955163,0.853569,1341,1.0
8p2a_A,eval-test,esmfold,prompt,0.920363,0.973978,0.983146,0.360793,626,1.0
8p5p_A,eval-test,esmfold,prompt,0.882173,0.968459,0.963592,0.397533,893,1.0
8p5n_A,eval-test,esmfold,prompt,0.859273,0.944019,0.916667,0.959567,1063,1.0
7wu8_A,eval-test,esmfold,prompt,0.914407,0.971481,0.978659,0.479643,632,1.0
8pak_A,eval-test,esmfold,prompt,0.818569,0.953813,0.87971,1.03088,2680,1.0
8paq_A,eval-test,esmfold,prompt,0.635082,0.804832,0.617925,2.066419,1163,1.0
8pb5_A,eval-test,esmfold,prompt,0.82858,0.947856,0.882812,1.441304,2496,1.0
8ptd_A,eval-test,esmfold,prompt,0.847786,0.958753,0.874636,1.207646,2661,1.0
8pu2_A,eval-test,esmfold,prompt,0.44324,0.459999,0.14527,6.501814,587,1.0
8pvs_A,eval-test,esmfold,prompt,0.807769,0.787015,0.063269,10.648916,5683,1.0
8pw2_A,eval-test,esmfold,prompt,0.824582,0.855922,0.85,0.827213,474,1.0
8pxc_A,eval-test,esmfold,prompt,0.782625,0.913006,0.761905,1.450885,1904,1.0
8pxu_A,eval-test,esmfold,prompt,0.871548,0.806509,0.160604,6.435817,5079,1.0
8q1v_A,eval-test,esmfold,prompt,0.776026,0.826023,0.740506,2.167651,561,1.0
8qb1_A,eval-test,esmfold,prompt,0.843858,0.896673,0.875,0.824031,683,0.9659
8qd8_A,eval-test,esmfold,prompt,0.806565,0.94759,0.860437,1.78901,3298,1.0
8qjp_A,eval-test,esmfold,prompt,0.874136,0.951135,0.905,1.389489,1955,1.0
8qlc_A,eval-test,esmfold,prompt,0.870293,0.966355,0.785256,0.969421,4941,1.0
8qoh_A,eval-test,esmfold,prompt,0.531386,0.731647,0.207117,6.253969,2161,1.0
8qpj_A,eval-test,esmfold,prompt,0.760568,0.909821,0.760274,1.484564,2247,1.0
8qq1_A,eval-test,esmfold,prompt,0.854406,0.967483,0.923963,0.64672,1774,1.0
8qx6_A,eval-test,esmfold,prompt,0.859045,0.971962,0.948485,0.507493,1278,1.0
8r2c_A,eval-test,esmfold,prompt,0.65337,0.784688,0.569527,6.320689,1340,1.0
8r5n_A,eval-test,esmfold,prompt,0.877716,0.953367,0.887879,0.626388,1365,1.0
8rcw_A,eval-test,esmfold,prompt,0.878964,0.974686,0.957317,0.581413,1586,1.0
8rdd_A,eval-test,esmfold,prompt,0.858789,0.964563,0.930982,0.580217,1324,1.0
8re3_A,eval-test,esmfold,prompt,0.824563,0.968742,0.904494,1.125268,3509,1.0
8rom_A,eval-test,esmfold,prompt,0.864927,0.95812,0.917526,0.762522,1533,1.0
8an4_A,eval-test,esmfold,prompt,0.864663,0.95283,0.923077,0.932405,1498,1.0
8qnf_A,eval-test,esmfold,prompt,0.820096,0.959916,0.842282,1.071726,3463,1.0
8s5b_A,eval-test,esmfold,prompt,0.91423,0.987224,0.948276,0.465907,2838,1.0
8s9l_A,eval-test,esmfold,prompt,0.837916,0.953935,0.899378,1.173477,1929,1.0
8sot_A,eval-test,esmfold,prompt,0.878963,0.92102,0.743534,1.891503,883,1.0
8spc_A,eval-test,esmfold,prompt,0.881625,0.97267,0.904054,0.731962,2834,1.0
8suc_A,eval-test,esmfold,prompt,0.84292,0.960738,0.910461,1.02148,2184,1.0
8sv7_A,eval-test,esmfold,prompt,0.898761,0.989714,0.976103,0.39134,2126,1.0
8sx0_A,eval-test,esmfold,prompt,0.774529,0.855926,0.757812,1.672265,753,0.9896
8sxs_A,eval-test,esmfold,prompt,0.88654,0.95839,0.936508,0.670859,962,1.0
8gm7_A,eval-test,esmfold,prompt,0.514517,0.580292,0.1875,5.901327,1288,1.0
8t27_A,eval-test,esmfold,prompt,0.792068,0.766786,0.289683,4.004205,3882,1.0
8t2j_A,eval-test,esmfold,prompt,0.836047,0.936744,0.834071,2.280492,2634,0.9971
8t41_A,eval-test,esmfold,prompt,0.88463,0.984556,0.894936,0.815768,6645,1.0
8t4c_A,eval-test,esmfold,prompt,0.83705,0.938817,0.800347,2.065389,1130,1.0
8t5t_A,eval-test,esmfold,prompt,0.654372,0.794282,0.588462,2.604952,1507,1.0
8t8k_A,eval-test,esmfold,prompt,0.808083,0.851973,0.654372,1.382162,1510,1.0
8t93_A,eval-test,esmfold,prompt,0.726227,0.883174,0.743056,1.548456,1764,1.0
8t9n_A,eval-test,esmfold,prompt,0.690197,0.837928,0.561111,2.451892,1078,1.0
8te9_A,eval-test,esmfold,prompt,0.765943,0.937448,0.762175,1.014242,2422,1.0
8tfo_A,eval-test,esmfold,prompt,0.838085,0.88428,0.604487,1.66202,2945,1.0
8tfs_A,eval-test,esmfold,prompt,0.871398,0.939484,0.886525,0.742263,1047,1.0
8hic_A,eval-test,esmfold,prompt,0.831595,0.953693,0.809494,1.290892,3071,1.0
8ti5_A,eval-test,esmfold,prompt,0.904615,0.983716,0.982824,0.386178,994,1.0
8tjg_A,eval-test,esmfold,prompt,0.871164,0.962658,0.905,0.770108,1935,1.0
8tru_A,eval-test,esmfold,prompt,0.856884,0.97792,0.925926,0.674951,2851,1.0
8tse_A,eval-test,esmfold,prompt,0.733331,0.889042,0.576406,4.022744,3181,1.0
8tuk_A,eval-test,esmfold,prompt,0.862734,0.954059,0.852586,0.872045,2339,1.0
8tw1_A,eval-test,esmfold,prompt,0.628743,0.576377,0.068431,7.635557,2130,1.0
8tyh_A,eval-test,esmfold,prompt,0.831458,0.966219,0.90015,0.933332,2631,1.0
8u0i_A,eval-test,esmfold,prompt,0.890778,0.952243,0.958824,0.477021,663,1.0
8u0x_A,eval-test,esmfold,prompt,0.242339,0.239135,0.026989,9.633129,1388,1.0
8u2f_A,eval-test,esmfold,prompt,0.726554,0.881148,0.777372,1.221885,1101,1.0
8ubs_A,eval-test,esmfold,prompt,0.918212,0.988852,0.99,0.301366,1178,1.0
8uds_A,eval-test,esmfold,prompt,0.897878,0.974838,0.962585,0.435287,1097,1.0
8tls_A,eval-test,esmfold,prompt,0.884755,0.970914,0.965517,0.412363,890,1.0
8ujw_A,eval-test,esmfold,prompt,0.538854,0.624448,0.082418,9.133373,1401,1.0
8uk7_A,eval-test,esmfold,prompt,0.796819,0.907529,0.853448,1.274542,946,1.0
8upi_A,eval-test,esmfold,prompt,0.819425,0.797733,0.398529,2.662925,3939,1.0
8ux2_A,eval-test,esmfold,prompt,0.379029,0.485022,0.135983,8.399798,1828,0.9707
8v3m_A,eval-test,esmfold,prompt,0.869589,0.966249,0.902,1.275085,3957,1.0
8v6t_A,eval-test,esmfold,prompt,0.724729,0.865665,0.630814,2.369353,1391,1.0
8vcw_A,eval-test,esmfold,prompt,0.887273,0.978268,0.957187,0.969861,2524,1.0
8vh7_A,eval-test,esmfold,prompt,0.795253,0.55187,0.032567,11.979618,4128,1.0
8vpo_A,eval-test,esmfold,prompt,0.817934,0.950479,0.808594,1.13557,3667,1.0
8vqk_A,eval-test,esmfold,prompt,0.776466,0.911933,0.654613,1.3766,3065,1.0
8w6v_A,eval-test,esmfold,prompt,0.776881,0.951187,0.779858,1.237836,3836,1.0
8w7p_A,eval-test,esmfold,prompt,0.78207,0.935428,0.795,1.052777,2044,1.0
8wac_A,eval-test,esmfold,prompt,0.742373,0.871882,0.806723,1.32303,927,1.0
8wae_A,eval-test,esmfold,prompt,0.933799,0.958142,0.941589,0.971719,787,1.0
8wc1_A,eval-test,esmfold,prompt,0.89497,0.978404,0.968543,0.454134,1127,1.0
8wcf_A,eval-test,esmfold,prompt,0.860265,0.950073,0.896875,0.786177,1300,1.0
8whj_A,eval-test,esmfold,prompt,0.879381,0.942807,0.837449,1.161677,1937,1.0
8whn_A,eval-test,esmfold,prompt,0.854483,0.863123,0.725352,1.081889,1172,1.0
8wik_A,eval-test,esmfold,prompt,0.87906,0.983029,0.9375,0.539015,2787,1.0
8wj5_A,eval-test,esmfold,prompt,0.6685,0.820027,0.675,1.998956,1093,1.0
8kbl_A,eval-test,esmfold,prompt,0.831599,0.796627,0.677885,1.359125,821,1.0
8wnj_A,eval-test,esmfold,prompt,0.843059,0.959505,0.728735,1.322581,7377,1.0
8wrx_A,eval-test,esmfold,prompt,0.797279,0.888874,0.822674,1.609266,727,1.0
8wt3_A,eval-test,esmfold,prompt,0.93944,0.990089,0.992537,0.257183,994,1.0
8wim_A,eval-test,esmfold,prompt,0.637683,0.79658,0.457093,4.597166,4451,1.0
8x7c_A,eval-test,esmfold,prompt,0.84012,0.961131,0.906429,1.06102,2769,1.0
8xf9_A,eval-test,esmfold,prompt,0.885227,0.974944,0.94086,0.749253,2214,1.0
8xif_A,eval-test,esmfold,prompt,0.777798,0.883811,0.650224,2.470004,1803,1.0
8xjg_A,eval-test,esmfold,prompt,0.897715,0.69717,0.390203,2.626124,1104,1.0
8xpk_A,eval-test,esmfold,prompt,0.913485,0.993911,0.997047,0.267436,2042,1.0
8y9p_A,eval-test,esmfold,prompt,0.832056,0.93599,0.889744,1.045516,1572,1.0
8ye0_A,eval-test,esmfold,prompt,0.823056,0.959999,0.875868,0.852588,2359,1.0
8wqn_A,eval-test,esmfold,prompt,0.273458,0.28395,0.06129,9.665847,1248,1.0
8yxk_A,eval-test,esmfold,prompt,0.931202,0.988179,0.985099,0.300671,1163,1.0
8z4q_A,eval-test,esmfold,prompt,0.774145,0.928432,0.809524,2.237401,3731,1.0
8hel_A,eval-test,esmfold,prompt,0.566207,0.649744,0.477941,2.166948,539,1.0
8zqf_A,eval-test,esmfold,prompt,0.644924,0.790746,0.524112,2.32426,1510,1.0
9aue_A,eval-test,esmfold,prompt,0.792065,0.92657,0.786145,1.938073,3137,1.0
9azz_A,eval-test,esmfold,prompt,0.811383,0.932048,0.866379,0.99633,1393,1.0
9b1u_A,eval-test,esmfold,prompt,0.856472,0.956571,0.854027,0.888647,2223,1.0
9bks_A,eval-test,esmfold,prompt,0.917808,0.948176,0.952055,0.627616,590,1.0
9bjx_A,eval-test,esmfold,prompt,0.866405,0.974044,0.929348,0.809016,2963,1.0
9cfj_A,eval-test,esmfold,prompt,0.824269,0.94023,0.778986,1.406793,2120,0.9964
9crn_A,eval-test,esmfold,prompt,0.838413,0.937287,0.773546,1.366856,2959,1.0
9d91_A,eval-test,esmfold,prompt,0.825245,0.935548,0.854299,1.353772,2406,1.0
9etn_A,eval-test,esmfold,prompt,0.825789,0.895734,0.28176,7.179082,4231,1.0
9evq_A,eval-test,esmfold,prompt,0.648971,0.758093,0.523364,5.623226,1728,1.0
9fce_A,eval-test,esmfold,prompt,0.900157,0.974768,0.956731,0.66581,1632,1.0
9fgp_A,eval-test,esmfold,prompt,0.27461,0.328502,0.066071,8.20541,1140,1.0
9f9u_A,eval-test,esmfold,prompt,0.818346,0.907492,0.776471,1.107314,1369,1.0
9fow_A,eval-test,esmfold,prompt,0.810462,0.935601,0.916667,0.787765,969,1.0
9fym_A,eval-test,esmfold,prompt,0.817919,0.944405,0.853261,1.194317,2596,1.0
9gso_A,eval-test,esmfold,prompt,0.391185,0.411985,0.05988,8.301717,1374,1.0
9ijc_A,eval-test,esmfold,prompt,0.785999,0.932651,0.819395,1.244632,2338,1.0
9iuh_A,eval-test,esmfold,prompt,0.857481,0.970253,0.892944,1.044853,3250,1.0
9j0v_A,eval-test,esmfold,prompt,0.852451,0.952098,0.864286,0.856736,1863,1.0
9jq9_A,eval-test,esmfold,prompt,0.728489,0.83899,0.674242,2.427392,1429,1.0
7qp5_A,eval-val,esmfold,prompt,0.822645,0.946251,0.848548,0.926173,1936,1.0
7qsj_A,eval-val,esmfold,prompt,0.902395,0.988896,0.973988,0.497121,2688,1.0
7t9r_A,eval-val,esmfold,prompt,0.792381,0.821529,0.736842,1.87708,315,1.0
7tlh_A,eval-val,esmfold,prompt,0.885256,0.947369,0.933468,0.720809,939,1.0
7tjb_A,eval-val,esmfold,prompt,0.875046,0.95722,0.875,1.293323,1770,1.0
7uba_A,eval-val,esmfold,prompt,0.415176,0.515772,0.113636,8.218185,1492,1.0
7uk8_A,eval-val,esmfold,prompt,0.786331,0.946485,0.860313,1.463621,3137,1.0
7ur2_A,eval-val,esmfold,prompt,0.804456,0.89444,0.576562,2.930456,1277,1.0
7urp_A,eval-val,esmfold,prompt,0.632617,0.762853,0.633648,5.427801,1185,1.0
7uvg_A,eval-val,esmfold,prompt,0.543202,0.707487,0.47741,3.342958,1301,1.0
7uww_A,eval-val,esmfold,prompt,0.563398,0.467956,0.013449,16.775106,4834,1.0
7v3o_A,eval-val,esmfold,prompt,0.697062,0.867141,0.704874,2.259839,2200,0.9928
7w15_A,eval-val,esmfold,prompt,0.897427,0.959059,0.87628,0.800747,2354,1.0
7y3h_A,eval-val,esmfold,prompt,0.858112,0.908799,0.646465,1.393693,2988,1.0
7wz5_A,eval-val,esmfold,prompt,0.888999,0.954372,0.925466,0.775345,1256,1.0
7wzm_A,eval-val,esmfold,prompt,0.819621,0.937004,0.760371,1.459173,3469,1.0
7x4p_A,eval-val,esmfold,prompt,0.858565,0.947379,0.81781,1.573548,2513,1.0
7x3h_A,eval-val,esmfold,prompt,0.755052,0.56925,0.225543,4.369438,2196,1.0
7x8l_A,eval-val,esmfold,prompt,0.856607,0.964182,0.899706,1.335465,3932,1.0
7xcd_A,eval-val,esmfold,prompt,0.514285,0.534116,0.134831,8.730814,1438,0.9663
7xg9_A,eval-val,esmfold,prompt,0.856398,0.949984,0.867133,1.093399,2181,1.0
7xi5_A,eval-val,esmfold,prompt,0.936643,0.971971,0.986842,0.350855,439,1.0
7xp9_A,eval-val,esmfold,prompt,0.489415,0.476223,0.236842,5.663351,613,1.0
8ycm_A,eval-val,esmfold,prompt,0.806456,0.934366,0.842342,0.983225,1735,1.0
7xq4_A,eval-val,esmfold,prompt,0.877237,0.984232,0.917178,0.594784,3676,1.0
7xrx_A,eval-val,esmfold,prompt,0.85486,0.970211,0.913945,0.903309,3003,0.9874
7xjr_A,eval-val,esmfold,prompt,0.859503,0.96942,0.928922,0.768119,2493,1.0
7xyr_A,eval-val,esmfold,prompt,0.840598,0.976901,0.912088,0.848348,4383,1.0
7xz3_A,eval-val,esmfold,prompt,0.896396,0.961013,0.913919,1.310435,2198,1.0
7y4h_A,eval-val,esmfold,prompt,0.921738,0.989783,0.968845,0.400916,2546,1.0
7y54_A,eval-val,esmfold,prompt,0.847584,0.924603,0.8375,1.319017,775,1.0
7y5m_A,eval-val,esmfold,prompt,0.7309,0.887095,0.787097,1.261619,1237,1.0
7y5r_A,eval-val,esmfold,prompt,0.897332,0.964381,0.959524,0.463291,811,1.0
7y8h_A,eval-val,esmfold,prompt,0.83751,0.939481,0.913043,0.935456,731,1.0
7y8i_A,eval-val,esmfold,prompt,0.831254,0.935692,0.948171,0.564029,665,1.0
7y5j_A,eval-val,esmfold,prompt,0.87566,0.963458,0.965789,0.440535,753,1.0
7yd4_A,eval-val,esmfold,prompt,0.393444,0.598065,0.321229,4.328549,1275,1.0
7yhr_A,eval-val,esmfold,prompt,0.636202,0.635927,0.588983,2.382867,471,1.0
7ykm_A,eval-val,esmfold,prompt,0.841037,0.921761,0.91358,0.967841,635,1.0
7ylr_A,eval-val,esmfold,prompt,0.842021,0.894706,0.657209,1.436878,2467,1.0
8gmy_A,eval-val,esmfold,prompt,0.689162,0.779969,0.414384,3.425539,1775,1.0
7yug_A,eval-val,esmfold,prompt,0.883547,0.963085,0.952991,0.559525,953,1.0
7yyg_A,eval-val,esmfold,prompt,0.828465,0.869428,0.603636,1.494223,2067,1.0
7z65_A,eval-val,esmfold,prompt,0.734695,0.90318,0.75265,1.852368,2217,1.0
7znz_A,eval-val,esmfold,prompt,0.870438,0.972774,0.896189,1.42348,5811,1.0
7zoi_A,eval-val,esmfold,prompt,0.904476,0.983423,0.985887,0.314397,939,1.0
7zs2_A,eval-val,esmfold,prompt,0.803976,0.771216,0.469424,2.344033,2135,1.0
7zu3_A,eval-val,esmfold,prompt,0.515829,0.554325,0.204365,5.801359,1003,0.9762
7zv1_A,eval-val,esmfold,prompt,0.781994,0.871279,0.651376,2.576704,839,1.0
8adc_A,eval-val,esmfold,prompt,0.634599,0.818595,0.577295,3.662457,1616,0.971
8add_A,eval-val,esmfold,prompt,0.877366,0.974166,0.946682,0.566906,1655,0.9858
8akh_A,eval-val,esmfold,prompt,0.864268,0.980239,0.945483,0.59245,2499,1.0
8ak2_A,eval-val,esmfold,prompt,0.897782,0.985786,0.965398,0.44827,2383,1.0
8arl_A,eval-val,esmfold,prompt,0.825118,0.908881,0.783405,1.392564,2077,1.0
8q8i_A,eval-val,esmfold,prompt,0.684516,0.847119,0.551971,3.656043,2325,1.0
8au6_A,eval-val,esmfold,prompt,0.909854,0.900183,0.46371,2.994588,1799,0.9879
8axj_A,eval-val,esmfold,prompt,0.811876,0.875722,0.513975,3.720499,1269,1.0
8azb_A,eval-val,esmfold,prompt,0.841526,0.912492,0.623752,1.474344,4029,1.0
8b2e_A,eval-val,esmfold,prompt,0.932105,0.991065,0.991135,0.244422,1043,1.0
8b2g_A,eval-val,esmfold,prompt,0.935832,0.979346,0.986486,0.262667,542,1.0
8b2s_A,eval-val,esmfold,prompt,0.885379,0.683805,0.238542,6.111008,1804,1.0
