target_id,eval_set,L,n_true,n_voted,voted_over_L,n_1p5L,precision_1p5L,recall_1p5L,n_pairs_1p5L,n_2L,precision_2L,recall_2L,n_pairs_2L,n_3L,precision_3L,recall_3L,n_pairs_3L,n_5L,precision_5L,recall_5L,n_pairs_5L,n_union,precision_union,recall_union,n_pairs_union
7xi5_A,eval-val,65,42,151,2.32,97,0.42268,0.97619,97,130,0.315385,0.97619,130,151,0.271523,0.97619,151,151,0.271523,0.97619,151,151,0.271523,0.97619,151
7xp9_A,eval-val,84,45,888,10.57,126,0.246032,0.688889,126,168,0.190476,0.711111,168,252,0.134921,0.755556,252,420,0.097619,0.911111,420,888,0.04955,0.977778,888
8ycm_A,eval-val,229,196,4518,19.73,343,0.3207,0.561224,343,458,0.253275,0.591837,458,687,0.183406,0.642857,687,1145,0.123144,0.719388,1145,4518,0.039398,0.908163,4518
7xq4_A,eval-val,514,472,7945,15.46,771,0.350195,0.572034,771,1028,0.285992,0.622881,1028,1542,0.212711,0.694915,1542,2570,0.146304,0.79661,2570,7945,0.053493,0.900424,7945
7xrx_A,eval-val,398,396,5751,14.45,597,0.400335,0.603535,597,796,0.341709,0.686869,796,1194,0.252094,0.760101,1194,1990,0.168844,0.848485,1990,5751,0.066771,0.969697,5751
7xjr_A,eval-val,337,354,3047,9.04,505,0.473267,0.675141,505,674,0.394659,0.751412,674,1011,0.285856,0.816384,1011,1685,0.188724,0.898305,1685,3047,0.110929,0.954802,3047
7xyr_A,eval-val,591,707,5152,8.72,886,0.600451,0.752475,886,1182,0.49577,0.828854,1182,1773,0.360406,0.903819,1773,2955,0.227411,0.950495,2955,5152,0.134123,0.977369,5152
7xz3_A,eval-val,325,316,10218,31.44,487,0.119097,0.183544,487,650,0.113846,0.234177,650,975,0.094359,0.291139,975,1625,0.075077,0.386076,1625,10218,0.026228,0.848101,10218
7y4h_A,eval-val,338,320,4088,12.09,507,0.426036,0.675,507,676,0.346154,0.73125,676,1014,0.253452,0.803125,1014,1690,0.171006,0.903125,1690,4088,0.075587,0.965625,4088
7y54_A,eval-val,100,105,384,3.84,150,0.64,0.914286,150,200,0.505,0.961905,200,300,0.343333,0.980952,300,384,0.268229,0.980952,384,384,0.268229,0.980952,384
7y5m_A,eval-val,170,148,1462,8.6,255,0.392157,0.675676,255,340,0.305882,0.702703,340,510,0.227451,0.783784,510,850,0.149412,0.858108,850,1462,0.090287,0.891892,1462
7y5r_A,eval-val,105,97,384,3.66,157,0.566879,0.917526,157,210,0.438095,0.948454,210,315,0.298413,0.969072,315,384,0.244792,0.969072,384,384,0.244792,0.969072,384
7y8h_A,eval-val,100,83,257,2.57,150,0.52,0.939759,150,200,0.41,0.987952,200,257,0.319066,0.987952,257,257,0.319066,0.987952,257,257,0.319066,0.987952,257
7y8i_A,eval-val,97,83,207,2.13,145,0.565517,0.987952,145,194,0.42268,0.987952,194,207,0.396135,0.987952,207,207,0.396135,0.987952,207,207,0.396135,0.987952,207
7y5j_A,eval-val,102,91,358,3.51,153,0.555556,0.934066,153,204,0.431373,0.967033,204,306,0.287582,0.967033,306,358,0.24581,0.967033,358,358,0.24581,0.967033,358
7yd4_A,eval-val,185,142,4832,26.12,277,0.158845,0.309859,277,370,0.145946,0.380282,370,555,0.118919,0.464789,555,925,0.083243,0.542254,925,4832,0.02649,0.901408,4832
7yhr_A,eval-val,60,41,520,8.67,90,0.322222,0.707317,90,120,0.291667,0.853659,120,180,0.216667,0.95122,180,300,0.133333,0.97561,300,520,0.078846,1.0,520
7ykm_A,eval-val,105,55,221,2.1,157,0.343949,0.981818,157,210,0.261905,1.0,210,221,0.248869,1.0,221,221,0.248869,1.0,221,221,0.248869,1.0,221
7ylr_A,eval-val,330,364,2183,6.62,495,0.591919,0.804945,495,660,0.472727,0.857143,660,990,0.341414,0.928571,990,1650,0.213939,0.96978,1650,2183,0.163536,0.980769,2183
8gmy_A,eval-val,236,254,3286,13.92,354,0.274011,0.38189,354,472,0.228814,0.425197,472,708,0.163842,0.456693,708,1180,0.116949,0.543307,1180,3286,0.057821,0.748031,3286
7yug_A,eval-val,118,94,2424,20.54,177,0.20904,0.393617,177,236,0.177966,0.446809,236,354,0.144068,0.542553,354,590,0.101695,0.638298,590,2424,0.035891,0.925532,2424
7yyg_A,eval-val,365,221,9485,25.99,547,0.153565,0.38009,547,730,0.123288,0.40724,730,1095,0.096804,0.479638,1095,1825,0.068493,0.565611,1825,9485,0.020032,0.859729,9485
7z65_A,eval-val,283,320,2624,9.27,424,0.466981,0.61875,424,566,0.388693,0.6875,566,849,0.303887,0.80625,849,1415,0.20636,0.9125,1415,2624,0.11814,0.96875,2624
7znz_A,eval-val,761,932,16985,22.32,1141,0.412796,0.505365,1141,1522,0.346255,0.565451,1522,2283,0.26763,0.655579,2283,3805,0.184757,0.754292,3805,16985,0.05234,0.953863,16985
7zoi_A,eval-val,151,110,739,4.89,226,0.438053,0.9,226,302,0.347682,0.954545,302,453,0.242826,1.0,453,739,0.14885,1.0,739,739,0.14885,1.0,739
7zs2_A,eval-val,316,223,2739,8.67,474,0.409283,0.869955,474,632,0.313291,0.887892,632,948,0.216245,0.919283,948,1580,0.132911,0.941704,1580,2739,0.079226,0.973094,2739
7zu3_A,eval-val,132,92,2660,20.15,198,0.252525,0.543478,198,264,0.208333,0.597826,264,396,0.151515,0.652174,396,660,0.09697,0.695652,660,2660,0.029323,0.847826,2660
7zv1_A,eval-val,136,111,1326,9.75,204,0.328431,0.603604,204,272,0.264706,0.648649,272,408,0.205882,0.756757,408,680,0.133824,0.81982,680,1326,0.075415,0.900901,1326
8adc_A,eval-val,215,170,4914,22.86,322,0.223602,0.423529,322,430,0.17907,0.452941,430,645,0.147287,0.558824,645,1075,0.111628,0.705882,1075,4914,0.032357,0.935294,4914
8add_A,eval-val,213,210,7754,36.4,319,0.147335,0.22381,319,426,0.13615,0.27619,426,639,0.118936,0.361905,639,1065,0.078873,0.4,1065,7754,0.022053,0.814286,7754
8akh_A,eval-val,374,321,2064,5.52,561,0.459893,0.803738,561,748,0.381016,0.88785,748,1122,0.272727,0.953271,1122,1870,0.170053,0.990654,1870,2064,0.15407,0.990654,2064
8ak2_A,eval-val,297,314,2116,7.12,445,0.539326,0.764331,445,594,0.427609,0.808917,594,891,0.313131,0.888535,891,1485,0.198653,0.93949,1485,2116,0.143195,0.964968,2116
8arl_A,eval-val,246,260,8558,34.79,369,0.03794,0.053846,369,492,0.04065,0.076923,492,738,0.042005,0.119231,738,1230,0.031707,0.15,1230,8558,0.014606,0.480769,8558
8q8i_A,eval-val,282,376,3930,13.94,423,0.479905,0.539894,423,564,0.388298,0.582447,564,846,0.281324,0.632979,846,1410,0.188652,0.707447,1410,3930,0.079389,0.829787,3930
8au6_A,eval-val,321,168,4599,14.33,481,0.243243,0.696429,481,642,0.20405,0.779762,642,963,0.147456,0.845238,963,1605,0.096573,0.922619,1605,4599,0.035877,0.982143,4599
8axj_A,eval-val,162,143,1021,6.3,243,0.477366,0.811189,243,324,0.364198,0.825175,324,486,0.244856,0.832168,486,810,0.151852,0.86014,810,1021,0.12047,0.86014,1021
8azb_A,eval-val,521,587,2549,4.89,781,0.644046,0.856899,781,1042,0.513436,0.911414,1042,1563,0.365323,0.972743,1563,2549,0.228325,0.991482,2549,2549,0.228325,0.991482,2549
8b2e_A,eval-val,143,130,2019,14.12,214,0.415888,0.684615,214,286,0.339161,0.746154,286,429,0.244755,0.807692,429,715,0.159441,0.876923,715,2019,0.062407,0.969231,2019
8b2g_A,eval-val,74,59,498,6.73,111,0.459459,0.864407,111,148,0.358108,0.898305,148,222,0.247748,0.932203,222,370,0.154054,0.966102,370,498,0.116466,0.983051,498
8b2s_A,eval-val,245,186,1564,6.38,367,0.422343,0.833333,367,490,0.330612,0.870968,490,735,0.228571,0.903226,735,1225,0.140408,0.924731,1225,1564,0.113811,0.956989,1564
8b4u_A,eval-val,277,273,916,3.31,415,0.614458,0.934066,415,554,0.472924,0.959707,554,831,0.322503,0.981685,831,916,0.293668,0.985348,916,916,0.293668,0.985348,916
8b5w_A,eval-val,459,370,15377,33.5,688,0.116279,0.216216,688,918,0.108932,0.27027,918,1377,0.088598,0.32973,1377,2295,0.067538,0.418919,2295,15377,0.018599,0.772973,15377
8b61_A,eval-val,238,212,4493,18.88,357,0.327731,0.551887,357,476,0.277311,0.622642,476,714,0.215686,0.726415,714,1190,0.145378,0.816038,1190,4493,0.044736,0.948113,4493
8b6a_A,eval-val,214,195,2103,9.83,321,0.436137,0.717949,321,428,0.359813,0.789744,428,642,0.258567,0.851282,642,1070,0.164486,0.902564,1070,2103,0.090823,0.979487,2103
8b6e_A,eval-val,66,44,172,2.61,99,0.434343,0.977273,99,132,0.333333,1.0,132,172,0.255814,1.0,172,172,0.255814,1.0,172,172,0.255814,1.0,172
8baq_A,eval-val,208,190,3353,16.12,312,0.330128,0.542105,312,416,0.266827,0.584211,416,624,0.211538,0.694737,624,1040,0.147115,0.805263,1040,3353,0.05428,0.957895,3353
8bau_A,eval-val,189,209,3272,17.31,283,0.540636,0.732057,283,378,0.420635,0.760766,378,567,0.312169,0.84689,567,945,0.203175,0.91866,945,3272,0.062042,0.971292,3272
8bfy_A,eval-val,426,359,2483,5.83,639,0.447574,0.796657,639,852,0.367371,0.871866,852,1278,0.262128,0.933148,1278,2130,0.161033,0.955432,2130,2483,0.140959,0.97493,2483
8bgb_A,eval-val,131,101,597,4.56,196,0.494898,0.960396,196,262,0.374046,0.970297,262,393,0.251908,0.980198,393,597,0.169179,1.0,597,597,0.169179,1.0,597
8bke_A,eval-val,638,494,7153,11.21,957,0.412748,0.799595,957,1276,0.322884,0.834008,1276,1914,0.227795,0.882591,1914,3190,0.145141,0.937247,3190,7153,0.067524,0.977733,7153
8bsb_A,eval-val,177,115,2544,14.37,265,0.362264,0.834783,265,354,0.29661,0.913043,354,531,0.207156,0.956522,531,885,0.127684,0.982609,885,2544,0.044811,0.991304,2544
8bux_A,eval-val,334,240,9631,28.84,501,0.071856,0.15,501,668,0.065868,0.183333,668,1002,0.055888,0.233333,1002,1670,0.045509,0.316667,1670,9631,0.015367,0.616667,9631
8c4d_A,eval-val,330,229,1753,5.31,495,0.379798,0.820961,495,660,0.301515,0.868996,660,990,0.222222,0.960699,990,1650,0.134545,0.969432,1650,1753,0.12721,0.973799,1753
7xlz_A,eval-val,266,265,2108,7.92,399,0.508772,0.766038,399,532,0.422932,0.849057,532,798,0.302005,0.909434,798,1330,0.186466,0.935849,1330,2108,0.120019,0.954717,2108
8c4y_A,eval-val,314,373,2139,6.81,471,0.639066,0.806971,471,628,0.523885,0.882038,628,942,0.381104,0.962466,942,1570,0.236306,0.994638,1570,2139,0.174381,1.0,2139
8cba_A,eval-val,214,245,6975,32.59,321,0.140187,0.183673,321,428,0.126168,0.220408,428,642,0.109034,0.285714,642,1070,0.084112,0.367347,1070,6975,0.027527,0.783673,6975
8ci9_A,eval-val,312,337,5980,19.17,468,0.467949,0.649852,468,624,0.373397,0.691395,624,936,0.277778,0.771513,936,1560,0.182051,0.84273,1560,5980,0.054348,0.964392,5980
8cih_A,eval-val,214,158,4994,23.34,321,0.208723,0.424051,321,428,0.168224,0.455696,428,642,0.130841,0.531646,642,1070,0.092523,0.626582,1070,4994,0.028234,0.892405,4994
8amo_A,eval-val,399,362,2866,7.18,598,0.5301,0.875691,598,798,0.422306,0.930939,798,1197,0.293233,0.969613,1197,1995,0.178947,0.986188,1995,2866,0.125262,0.991713,2866
8cpk_A,eval-val,384,353,4442,11.57,576,0.46875,0.764873,576,768,0.369792,0.804533,768,1152,0.267361,0.872521,1152,1920,0.169271,0.92068,1920,4442,0.077217,0.971671,4442
8cpn_A,eval-val,207,168,3538,17.09,310,0.2,0.369048,310,414,0.173913,0.428571,414,621,0.15942,0.589286,621,1035,0.116908,0.720238,1035,3538,0.044941,0.946429,3538
8d2z_A,eval-val,327,312,2679,8.19,490,0.514286,0.807692,490,654,0.415902,0.871795,654,981,0.297655,0.935897,981,1635,0.182263,0.955128,1635,2679,0.113475,0.974359,2679
8daj_A,eval-val,302,299,2346,7.77,453,0.490066,0.742475,453,604,0.39404,0.795987,604,906,0.278146,0.842809,906,1510,0.17947,0.906355,1510,2346,0.123188,0.966555,2346
8dez_A,eval-val,173,182,4471,25.84,259,0.223938,0.318681,259,346,0.196532,0.373626,346,519,0.146435,0.417582,519,865,0.10289,0.489011,865,4471,0.034892,0.857143,4471
8dge_A,eval-val,738,914,13553,18.36,1107,0.480578,0.582057,1107,1476,0.399051,0.64442,1476,2214,0.30804,0.746171,2214,3690,0.206233,0.832604,3690,13553,0.064488,0.956236,13553
8dhj_A,eval-val,249,267,1105,4.44,373,0.632708,0.883895,373,498,0.512048,0.955056,498,747,0.356091,0.996255,747,1105,0.241629,1.0,1105,1105,0.241629,1.0,1105
8dmu_A,eval-val,489,571,25093,51.31,733,0.11869,0.152364,733,978,0.108384,0.185639,978,1467,0.091343,0.234676,1467,2445,0.066667,0.285464,2445,25093,0.015502,0.681261,25093
8dp9_A,eval-val,148,146,595,4.02,222,0.545045,0.828767,222,296,0.439189,0.890411,296,444,0.310811,0.945205,444,595,0.242017,0.986301,595,595,0.242017,0.986301,595
8dqd_A,eval-val,377,395,1387,3.68,565,0.578761,0.827848,565,754,0.480106,0.916456,754,1131,0.333333,0.95443,1131,1387,0.278298,0.977215,1387,1387,0.278298,0.977215,1387
8dx0_A,eval-val,154,135,323,2.1,231,0.536797,0.918519,231,308,0.409091,0.933333,308,323,0.396285,0.948148,323,323,0.396285,0.948148,323,323,0.396285,0.948148,323
8e0r_A,eval-val,468,496,20297,43.37,702,0.166667,0.235887,702,936,0.134615,0.254032,936,1404,0.105413,0.298387,1404,2340,0.077778,0.366935,2340,20297,0.01754,0.717742,20297
8e5h_A,eval-val,372,344,5325,14.31,558,0.403226,0.65407,558,744,0.331989,0.718023,744,1116,0.240143,0.77907,1116,1860,0.157527,0.851744,1860,5325,0.061033,0.944767,5325
8eb9_A,eval-val,95,71,1604,16.88,142,0.169014,0.338028,142,190,0.147368,0.394366,190,285,0.115789,0.464789,285,475,0.090526,0.605634,475,1604,0.040524,0.915493,1604
8ec3_A,eval-val,168,126,3288,19.57,252,0.206349,0.412698,252,336,0.175595,0.468254,336,504,0.14881,0.595238,504,840,0.110714,0.738095,840,3288,0.037105,0.968254,3288
8eo5_A,eval-val,290,253,941,3.24,435,0.556322,0.956522,435,580,0.424138,0.972332,580,870,0.283908,0.976285,870,941,0.265675,0.988142,941,941,0.265675,0.988142,941
