target_id,eval_set,rule,L_exp245,L_helico,n_mapped,n_theirs,n_mine,jaccard,ok
8pw2_A,eval-test,resolved_rank,72,60,60,48,48,1.0,1
8pxc_A,eval-test,resolved_rank,457,252,252,257,257,1.0,1
8pxu_A,eval-test,resolved_rank,655,646,646,766,766,1.0,1
8q1v_A,eval-test,resolved_rank,93,79,79,48,48,1.0,1
8qb1_A,eval-test,identity,88,88,88,76,76,1.0,1
8qd8_A,eval-test,resolved_rank,431,412,412,472,472,1.0,1
8qjp_A,eval-test,resolved_rank,254,250,250,229,229,1.0,1
8qlc_A,eval-test,resolved_rank,627,624,624,653,653,1.0,1
8qoh_A,eval-test,resolved_rank,278,274,274,266,266,1.0,1
8qpj_A,eval-test,resolved_rank,300,292,292,294,294,1.0,1
8qq1_A,eval-test,resolved_rank,221,217,217,244,244,1.0,1
8qle_A,eval-test,unmapped,283,272,0,0,240,0.0,0
8qx6_A,eval-test,identity,165,165,165,181,181,1.0,1
8r2c_A,eval-test,identity,169,169,169,184,184,1.0,1
8r5n_A,eval-test,identity,165,165,165,185,185,1.0,1
8ra0_A,eval-test,unmapped,499,485,0,0,495,0.0,0
8rcw_A,eval-test,resolved_rank,229,205,205,203,203,1.0,1
8rdd_A,eval-test,aligned,170,164,163,156,156,1.0,1
8re3_A,eval-test,identity,445,445,445,510,510,1.0,1
8rom_A,eval-test,resolved_rank,202,194,194,180,180,1.0,1
8an4_A,eval-test,resolved_rank,196,195,195,172,172,1.0,1
8qnf_A,eval-test,resolved_rank,537,447,447,474,474,1.0,1
8s5b_A,eval-test,resolved_rank,396,377,377,407,403,0.990172,1
8s9l_A,eval-test,resolved_rank,270,241,241,243,238,0.979424,1
8sot_A,eval-test,identity,116,116,116,89,89,1.0,1
8spc_A,eval-test,resolved_rank,415,370,370,327,327,1.0,1
8suc_A,eval-test,resolved_rank,283,282,282,269,269,1.0,1
8sv7_A,eval-test,resolved_rank,276,272,272,286,285,0.996503,1
8sx0_A,eval-test,resolved_rank,111,96,96,105,105,1.0,1
8sxs_A,eval-test,identity,126,126,126,107,107,1.0,1
8gm7_A,eval-test,resolved_rank,170,168,168,186,186,1.0,1
8t27_A,eval-test,resolved_rank,509,504,504,621,621,1.0,1
8t2j_A,eval-test,resolved_rank,345,339,339,356,356,1.0,1
8t41_A,eval-test,resolved_rank,867,859,859,979,979,1.0,1
8t4c_A,eval-test,resolved_rank,147,144,144,160,160,1.0,1
8t5t_A,eval-test,resolved_rank,208,195,195,196,196,1.0,1
8t8k_A,eval-test,resolved_rank,184,183,183,183,183,1.0,1
8t93_A,eval-test,resolved_rank,249,216,216,213,213,1.0,1
8t9n_A,eval-test,identity,135,135,135,140,140,1.0,1
8te9_A,eval-test,resolved_rank,336,308,308,352,352,1.0,1
8tfo_A,eval-test,resolved_rank,416,390,390,397,395,0.994962,1
8tfs_A,eval-test,resolved_rank,186,141,141,118,118,1.0,1
8hic_A,eval-test,resolved_rank,414,395,395,479,479,1.0,1
8ti5_A,eval-test,resolved_rank,134,131,131,117,117,1.0,1
8tjg_A,eval-test,resolved_rank,260,250,250,261,261,1.0,1
8tru_A,eval-test,resolved_rank,408,378,378,448,448,1.0,1
8tse_A,eval-test,resolved_rank,428,409,409,470,470,1.0,1
8tuk_A,eval-test,resolved_rank,322,290,290,302,302,1.0,1
8tw1_A,eval-test,resolved_rank,286,274,274,272,271,0.996324,1
8tyh_A,eval-test,resolved_rank,538,333,333,331,329,0.993958,1
8u0i_A,eval-test,resolved_rank,90,86,86,79,79,1.0,1
8u0x_A,eval-test,resolved_rank,186,176,176,152,152,1.0,1
8u2f_A,eval-test,resolved_rank,149,137,137,145,141,0.972414,1
8ubs_A,eval-test,resolved_rank,151,150,150,162,162,1.0,1
8uds_A,eval-test,resolved_rank,167,147,147,106,106,1.0,1
8tls_A,eval-test,identity,116,116,116,84,84,1.0,1
8ujw_A,eval-test,resolved_rank,264,182,182,156,156,1.0,1
8uk7_A,eval-test,resolved_rank,138,116,116,102,102,1.0,1
8upi_A,eval-test,resolved_rank,523,510,510,575,575,1.0,1
8ux2_A,eval-test,resolved_rank,246,239,239,216,216,1.0,1
8v3m_A,eval-test,resolved_rank,524,500,500,611,608,0.99509,1
8v6t_A,eval-test,identity,172,172,172,166,166,1.0,1
8vcw_A,eval-test,identity,327,327,327,383,383,1.0,1
8vh7_A,eval-test,resolved_rank,552,522,522,640,635,0.992188,1
8vpo_A,eval-test,resolved_rank,472,448,448,508,508,1.0,1
8vqk_A,eval-test,resolved_rank,440,401,401,391,391,1.0,1
8w6v_A,eval-test,resolved_rank,536,494,494,601,601,1.0,1
8w7p_A,eval-test,resolved_rank,274,250,250,277,275,0.99278,1
8wac_A,eval-test,resolved_rank,127,119,119,123,123,1.0,1
8wae_A,eval-test,resolved_rank,118,107,107,95,95,1.0,1
8wc1_A,eval-test,resolved_rank,178,151,151,146,146,1.0,1
8wcf_A,eval-test,identity,160,160,160,161,161,1.0,1
8whj_A,eval-test,resolved_rank,264,243,243,220,219,0.995455,1
8whn_A,eval-test,resolved_rank,161,142,142,107,107,1.0,1
8wik_A,eval-test,resolved_rank,373,364,364,348,348,1.0,1
8wj5_A,eval-test,resolved_rank,140,130,130,132,132,1.0,1
8kbl_A,eval-test,identity,104,104,104,84,84,1.0,1
8wnj_A,eval-test,resolved_rank,920,917,917,1140,1140,1.0,1
8wrx_A,eval-test,resolved_rank,88,86,86,78,78,1.0,1
8wt3_A,eval-test,resolved_rank,135,134,134,116,116,1.0,1
8wim_A,eval-test,resolved_rank,620,571,571,709,705,0.994358,1
8x7c_A,eval-test,resolved_rank,353,350,350,407,407,1.0,1
8xf9_A,eval-test,resolved_rank,283,279,279,273,273,1.0,1
8xif_A,eval-test,resolved_rank,224,223,223,233,233,1.0,1
8xjg_A,eval-test,resolved_rank,153,148,148,109,109,1.0,1
8xpk_A,eval-test,resolved_rank,269,254,254,317,317,1.0,1
8y9p_A,eval-test,resolved_rank,256,195,195,200,200,1.0,1
8ye0_A,eval-test,resolved_rank,290,288,288,326,326,1.0,1
8wqn_A,eval-test,resolved_rank,173,155,155,159,159,1.0,1
8yxk_A,eval-test,resolved_rank,201,151,151,132,132,1.0,1
8z4q_A,eval-test,aligned,473,463,462,545,545,1.0,1
8hel_A,eval-test,resolved_rank,76,68,68,40,40,1.0,1
8zqf_A,eval-test,resolved_rank,214,197,197,211,211,1.0,1
9aue_A,eval-test,identity,415,415,415,361,361,1.0,1
9azz_A,eval-test,resolved_rank,186,174,174,175,175,1.0,1
9b1u_A,eval-test,resolved_rank,310,298,298,303,303,1.0,1
9b8e_A,eval-test,unmapped,233,222,0,0,235,0.0,0
9bks_A,eval-test,resolved_rank,80,73,73,74,74,1.0,1
9bjx_A,eval-test,identity,368,368,368,420,420,1.0,1
9cfj_A,eval-test,identity,276,276,276,272,272,1.0,1
9crn_A,eval-test,resolved_rank,379,361,361,395,394,0.997468,1
9d91_A,eval-test,resolved_rank,320,314,314,287,285,0.993031,1
9etn_A,eval-test,resolved_rank,586,551,551,649,649,1.0,1
9evq_A,eval-test,resolved_rank,226,214,214,213,212,0.995305,1
9fce_A,eval-test,resolved_rank,229,208,208,197,195,0.989848,1
9fgp_A,eval-test,identity,140,140,140,168,168,1.0,1
9f9u_A,eval-test,identity,170,170,170,186,186,1.0,1
9fow_A,eval-test,resolved_rank,146,123,123,137,133,0.970803,1
9fym_A,eval-test,resolved_rank,330,322,322,403,403,1.0,1
9gso_A,eval-test,resolved_rank,177,167,167,156,156,1.0,1
9ijc_A,eval-test,resolved_rank,321,281,281,371,371,1.0,1
9iuh_A,eval-test,identity,411,411,411,457,457,1.0,1
9j0v_A,eval-test,aligned,286,246,245,224,230,0.973913,1
9jq9_A,eval-test,resolved_rank,179,165,165,176,176,1.0,1
7pv5_A,eval-val,unmapped,81,76,0,0,64,0.0,0
7qp5_A,eval-val,resolved_rank,245,241,241,241,241,1.0,1
7qsj_A,eval-val,resolved_rank,373,346,346,347,347,1.0,1
7t9r_A,eval-val,identity,38,38,38,24,24,1.0,1
7tlh_A,eval-val,resolved_rank,136,124,124,114,114,1.0,1
7tjb_A,eval-val,resolved_rank,227,222,222,201,201,1.0,1
7uba_A,eval-val,resolved_rank,213,187,187,208,207,0.995192,1
7uk8_A,eval-val,resolved_rank,394,383,383,526,525,0.998099,1
7ur2_A,eval-val,resolved_rank,195,160,160,137,136,0.992701,1
7urp_A,eval-val,resolved_rank,160,159,159,134,134,1.0,1
7uvg_A,eval-val,resolved_rank,183,166,166,178,177,0.994382,1
7uww_A,eval-val,resolved_rank,635,632,632,693,693,1.0,1
7v3o_A,eval-val,resolved_rank,328,277,277,272,270,0.992647,1
7w15_A,eval-val,resolved_rank,302,293,293,303,303,1.0,1
7y3h_A,eval-val,resolved_rank,413,396,396,312,312,1.0,1
7wz5_A,eval-val,identity,161,161,161,113,113,1.0,1
7wzm_A,eval-val,resolved_rank,492,458,458,456,454,0.995614,1
7x4p_A,eval-val,resolved_rank,307,306,306,333,333,1.0,1
7x3h_A,eval-val,resolved_rank,290,276,276,296,296,1.0,1
7x8l_A,eval-val,resolved_rank,514,511,511,580,580,1.0,1
7xcd_A,eval-val,identity,178,178,178,148,148,1.0,1
7xg9_A,eval-val,resolved_rank,288,286,286,241,241,1.0,1
7xi5_A,eval-val,resolved_rank,65,57,57,42,42,1.0,1
7xp9_A,eval-val,resolved_rank,84,76,76,45,45,1.0,1
8ycm_A,eval-val,resolved_rank,229,222,222,196,196,1.0,1
7xq4_A,eval-val,resolved_rank,514,489,489,472,472,1.0,1
7xrx_A,eval-val,identity,398,398,398,396,396,1.0,1
7xjr_A,eval-val,resolved_rank,337,306,306,354,354,1.0,1
7xyr_A,eval-val,resolved_rank,591,546,546,707,705,0.997171,1
7xz3_A,eval-val,resolved_rank,325,273,273,316,311,0.984177,1
7y4h_A,eval-val,resolved_rank,338,329,329,320,318,0.99375,1
7y54_A,eval-val,identity,100,100,100,105,105,1.0,1
7y5m_A,eval-val,resolved_rank,170,155,155,148,148,1.0,1
7y5r_A,eval-val,identity,105,105,105,97,97,1.0,1
7y8h_A,eval-val,resolved_rank,100,92,92,83,81,0.975904,1
7y8i_A,eval-val,resolved_rank,97,82,82,83,82,0.987952,1
7y5j_A,eval-val,resolved_rank,102,95,95,91,91,1.0,1
7yd4_A,eval-val,resolved_rank,185,179,179,142,142,1.0,1
7yhr_A,eval-val,resolved_rank,60,59,59,41,41,1.0,1
7ykm_A,eval-val,resolved_rank,105,81,81,55,55,1.0,1
7ylr_A,eval-val,resolved_rank,330,326,326,364,364,1.0,1
8gmy_A,eval-val,resolved_rank,236,219,219,254,253,0.996063,1
7yug_A,eval-val,resolved_rank,118,117,117,94,94,1.0,1
7yyg_A,eval-val,resolved_rank,365,275,275,221,221,1.0,1
7z65_A,eval-val,identity,283,283,283,320,320,1.0,1
7znz_A,eval-val,identity,761,761,761,932,932,1.0,1
7zoi_A,eval-val,resolved_rank,151,124,124,110,110,1.0,1
7zs2_A,eval-val,resolved_rank,316,278,278,223,230,0.935897,1
7zu3_A,eval-val,resolved_rank,132,126,126,92,92,1.0,1
7zv1_A,eval-val,resolved_rank,136,109,109,111,111,1.0,1
8adc_A,eval-val,resolved_rank,215,207,207,170,169,0.994118,1
8add_A,eval-val,aligned,213,212,211,210,210,1.0,1
8akh_A,eval-val,resolved_rank,374,321,321,321,321,1.0,1
8ak2_A,eval-val,resolved_rank,297,289,289,314,314,1.0,1
8arl_A,eval-val,resolved_rank,246,232,232,260,260,1.0,1
8q8i_A,eval-val,resolved_rank,282,279,279,376,376,1.0,1
8au6_A,eval-val,resolved_rank,321,248,248,168,168,1.0,1
8axj_A,eval-val,resolved_rank,162,161,161,143,143,1.0,1
8azb_A,eval-val,resolved_rank,521,501,501,587,587,1.0,1
8b2e_A,eval-val,resolved_rank,143,141,141,130,130,1.0,1
8b2g_A,eval-val,identity,74,74,74,59,59,1.0,1
8b2s_A,eval-val,resolved_rank,245,240,240,186,186,1.0,1
8b4u_A,eval-val,resolved_rank,277,269,269,273,273,1.0,1
8b5w_A,eval-val,resolved_rank,459,346,346,370,367,0.991892,1
8b61_A,eval-val,resolved_rank,238,197,197,212,210,0.990566,1
8b6a_A,eval-val,resolved_rank,214,175,175,195,195,1.0,1
8b6e_A,eval-val,resolved_rank,66,52,52,44,44,1.0,1
8baq_A,eval-val,identity,208,208,208,190,190,1.0,1
8bau_A,eval-val,identity,189,189,189,209,209,1.0,1
8bfy_A,eval-val,resolved_rank,426,393,393,359,359,1.0,1
8bgb_A,eval-val,resolved_rank,131,130,130,101,101,1.0,1
8bke_A,eval-val,resolved_rank,638,428,428,494,494,1.0,1
8bsb_A,eval-val,resolved_rank,177,159,159,115,115,1.0,1
8bux_A,eval-val,resolved_rank,334,289,289,240,237,0.9875,1
8c4d_A,eval-val,resolved_rank,330,184,184,229,229,1.0,1
7xlz_A,eval-val,resolved_rank,266,241,241,265,264,0.996226,1
8c4y_A,eval-val,resolved_rank,314,312,312,373,373,1.0,1
8cba_A,eval-val,resolved_rank,214,195,195,245,245,1.0,1
8ci9_A,eval-val,resolved_rank,312,306,306,337,337,1.0,1
8cih_A,eval-val,resolved_rank,214,188,188,158,158,1.0,1
8amo_A,eval-val,resolved_rank,399,385,385,362,362,1.0,1
8cpk_A,eval-val,identity,384,384,384,353,353,1.0,1
8cpn_A,eval-val,resolved_rank,207,159,159,168,165,0.982143,1
8d2z_A,eval-val,resolved_rank,327,306,306,312,312,1.0,1
8daj_A,eval-val,identity,302,302,302,299,299,1.0,1
8dez_A,eval-val,identity,173,173,173,182,182,1.0,1
8dge_A,eval-val,resolved_rank,738,707,707,914,913,0.998906,1
8dhj_A,eval-val,resolved_rank,249,236,236,267,267,1.0,1
8dmu_A,eval-val,resolved_rank,489,476,476,571,570,0.998249,1
8dp9_A,eval-val,resolved_rank,148,133,133,146,144,0.986301,1
8dqd_A,eval-val,resolved_rank,377,370,370,395,395,1.0,1
8dx0_A,eval-val,resolved_rank,154,139,139,135,134,0.992593,1
8e0r_A,eval-val,resolved_rank,468,418,418,496,496,1.0,1
8e5h_A,eval-val,resolved_rank,372,368,368,344,344,1.0,1
8eb9_A,eval-val,resolved_rank,95,89,89,71,71,1.0,1
8ec3_A,eval-val,resolved_rank,168,155,155,126,125,0.992063,1
8eo5_A,eval-val,resolved_rank,290,270,270,253,253,1.0,1
