target_id,eval_set,arm,lddt,tm_score,gdt_ts,rmsd,n_matched_atoms,cif
7wz5_A,eval-val,protenix_v2_msa,0.861104,0.954738,0.936335,0.827564,1256,msa/msa/7wz5_A/predictions/7wz5_A/seed_42/predictions/7wz5_A_sample_0.cif
7wzm_A,eval-val,protenix_v2_msa,0.815586,0.932058,0.740175,1.500326,3469,msa/msa/7wzm_A/predictions/7wzm_A/seed_42/predictions/7wzm_A_sample_0.cif
7x3h_A,eval-val,protenix_v2_msa,0.798272,0.701143,0.398551,2.662076,2196,msa/msa/7x3h_A/predictions/7x3h_A/seed_42/predictions/7x3h_A_sample_0.cif
7x4p_A,eval-val,protenix_v2_msa,0.863341,0.956157,0.830882,2.017551,2514,msa/msa/7x4p_A/predictions/7x4p_A/seed_42/predictions/7x4p_A_sample_0.cif
7x8l_A,eval-val,protenix_v2_msa,0.914189,0.990327,0.97456,0.521181,3932,msa/msa/7x8l_A/predictions/7x8l_A/seed_42/predictions/7x8l_A_sample_0.cif
7xcd_A,eval-val,protenix_v2_msa,0.883831,0.945558,0.851124,1.289526,1438,msa/msa/7xcd_A/predictions/7xcd_A/seed_42/predictions/7xcd_A_sample_0.cif
7xg9_A,eval-val,protenix_v2_msa,0.869527,0.970639,0.929196,0.948015,2181,msa/msa/7xg9_A/predictions/7xg9_A/seed_42/predictions/7xg9_A_sample_0.cif
7xhz_A,eval-test,protenix_v2_msa,0.809849,0.867811,0.677489,1.589129,1844,msa/msa/7xhz_A/predictions/7xhz_A/seed_42/predictions/7xhz_A_sample_0.cif
7xi5_A,eval-val,protenix_v2_msa,0.936463,0.968258,0.97807,0.482522,439,msa/msa/7xi5_A/predictions/7xi5_A/seed_42/predictions/7xi5_A_sample_0.cif
7xjr_A,eval-val,protenix_v2_msa,0.91965,0.995227,0.99183,0.261467,2493,msa/msa/7xjr_A/predictions/7xjr_A/seed_42/predictions/7xjr_A_sample_0.cif
7xlz_A,eval-val,protenix_v2_msa,0.876469,0.983782,0.970954,0.545239,1917,msa/msa/7xlz_A/predictions/7xlz_A/seed_42/predictions/7xlz_A_sample_0.cif
7xp9_A,eval-val,protenix_v2_msa,0.834603,0.889721,0.664474,2.040842,613,msa/msa/7xp9_A/predictions/7xp9_A/seed_42/predictions/7xp9_A_sample_0.cif
7xq4_A,eval-val,protenix_v2_msa,0.865842,0.981085,0.944785,0.85779,3676,msa/msa/7xq4_A/predictions/7xq4_A/seed_42/predictions/7xq4_A_sample_0.cif
7xrx_A,eval-val,protenix_v2_msa,0.93556,0.994075,0.991206,0.45801,3003,msa/msa/7xrx_A/predictions/7xrx_A/seed_42/predictions/7xrx_A_sample_0.cif
7xyr_A,eval-val,protenix_v2_msa,0.907626,0.990612,0.970696,0.556289,4383,msa/msa/7xyr_A/predictions/7xyr_A/seed_42/predictions/7xyr_A_sample_0.cif
7xz3_A,eval-val,protenix_v2_msa,0.856283,0.943098,0.887363,1.41001,2198,msa/msa/7xz3_A/predictions/7xz3_A/seed_42/predictions/7xz3_A_sample_0.cif
7y3h_A,eval-val,protenix_v2_msa,0.854799,0.97548,0.88952,0.673427,2988,msa/msa/7y3h_A/predictions/7y3h_A/seed_42/predictions/7y3h_A_sample_0.cif
7y4h_A,eval-val,protenix_v2_msa,0.902463,0.990248,0.977964,0.434669,2546,msa/msa/7y4h_A/predictions/7y4h_A/seed_42/predictions/7y4h_A_sample_0.cif
7y54_A,eval-val,protenix_v2_msa,0.82959,0.907885,0.8,1.579493,775,msa/msa/7y54_A/predictions/7y54_A/seed_42/predictions/7y54_A_sample_0.cif
7y5j_A,eval-val,protenix_v2_msa,0.886903,0.97466,0.984211,0.343941,753,msa/msa/7y5j_A/predictions/7y5j_A/seed_42/predictions/7y5j_A_sample_0.cif
7y5m_A,eval-val,protenix_v2_msa,0.847165,0.948827,0.906452,0.72309,1237,msa/msa/7y5m_A/predictions/7y5m_A/seed_42/predictions/7y5m_A_sample_0.cif
7y5r_A,eval-val,protenix_v2_msa,0.831104,0.926463,0.902381,0.916344,812,msa/msa/7y5r_A/predictions/7y5r_A/seed_42/predictions/7y5r_A_sample_0.cif
7y8h_A,eval-val,protenix_v2_msa,0.826867,0.937903,0.9375,0.784646,732,msa/msa/7y8h_A/predictions/7y8h_A/seed_42/predictions/7y8h_A_sample_0.cif
7y8i_A,eval-val,protenix_v2_msa,0.770512,0.907172,0.902439,0.725947,665,msa/msa/7y8i_A/predictions/7y8i_A/seed_42/predictions/7y8i_A_sample_0.cif
7yd4_A,eval-val,protenix_v2_msa,0.864766,0.965795,0.945531,0.696654,1275,msa/msa/7yd4_A/predictions/7yd4_A/seed_42/predictions/7yd4_A_sample_0.cif
7yhr_A,eval-val,protenix_v2_msa,0.906472,0.981418,1.0,0.20766,471,msa/msa/7yhr_A/predictions/7yhr_A/seed_42/predictions/7yhr_A_sample_0.cif
7ykm_A,eval-val,protenix_v2_msa,0.839167,0.928799,0.91358,1.20798,635,msa/msa/7ykm_A/predictions/7ykm_A/seed_42/predictions/7ykm_A_sample_0.cif
7ylr_A,eval-val,protenix_v2_msa,0.854325,0.912641,0.716258,1.307036,2467,msa/msa/7ylr_A/predictions/7ylr_A/seed_42/predictions/7ylr_A_sample_0.cif
7yug_A,eval-val,protenix_v2_msa,0.887903,0.971187,0.965812,0.481123,953,msa/msa/7yug_A/predictions/7yug_A/seed_42/predictions/7yug_A_sample_0.cif
7yyg_A,eval-val,protenix_v2_msa,0.825003,0.877656,0.641818,1.52413,2067,msa/msa/7yyg_A/predictions/7yyg_A/seed_42/predictions/7yyg_A_sample_0.cif
7z65_A,eval-val,protenix_v2_msa,0.918685,0.984833,0.977915,0.790557,2218,msa/msa/7z65_A/predictions/7z65_A/seed_42/predictions/7z65_A_sample_0.cif
7znz_A,eval-val,protenix_v2_msa,0.920709,0.99197,0.953022,0.499681,5811,msa/msa/7znz_A/predictions/7znz_A/seed_42/predictions/7znz_A_sample_0.cif
7zoi_A,eval-val,protenix_v2_msa,0.913562,0.989899,0.991935,0.244273,939,msa/msa/7zoi_A/predictions/7zoi_A/seed_42/predictions/7zoi_A_sample_0.cif
7zs2_A,eval-val,protenix_v2_msa,0.836022,0.774838,0.475719,2.293318,2136,msa/msa/7zs2_A/predictions/7zs2_A/seed_42/predictions/7zs2_A_sample_0.cif
7zu3_A,eval-val,protenix_v2_msa,0.542057,0.583563,0.271825,6.073041,1004,msa/msa/7zu3_A/predictions/7zu3_A/seed_42/predictions/7zu3_A_sample_0.cif
7zv1_A,eval-val,protenix_v2_msa,0.799206,0.874988,0.837156,2.303821,839,msa/msa/7zv1_A/predictions/7zv1_A/seed_42/predictions/7zv1_A_sample_0.cif
8adc_A,eval-val,protenix_v2_msa,0.718294,0.843906,0.630435,2.73116,1617,msa/msa/8adc_A/predictions/8adc_A/seed_42/predictions/8adc_A_sample_0.cif
8add_A,eval-val,protenix_v2_msa,0.881177,0.980056,0.964623,0.502274,1661,msa/msa/8add_A/predictions/8add_A/seed_42/predictions/8add_A_sample_0.cif
8ah9_A,eval-denovo,protenix_v2_msa,0.834934,0.977329,0.980435,0.359564,925,msa/msa/8ah9_A/predictions/8ah9_A/seed_42/predictions/8ah9_A_sample_0.cif
8ak2_A,eval-val,protenix_v2_msa,0.896105,0.989937,0.978374,0.383885,2383,msa/msa/8ak2_A/predictions/8ak2_A/seed_42/predictions/8ak2_A_sample_0.cif
8akh_A,eval-val,protenix_v2_msa,0.904182,0.98988,0.98053,0.503794,2499,msa/msa/8akh_A/predictions/8akh_A/seed_42/predictions/8akh_A_sample_0.cif
8amo_A,eval-val,protenix_v2_msa,0.86368,0.979409,0.933117,0.646378,2971,msa/msa/8amo_A/predictions/8amo_A/seed_42/predictions/8amo_A_sample_0.cif
8an4_A,eval-test,protenix_v2_msa,0.83804,0.952038,0.90641,0.826197,1498,msa/msa/8an4_A/predictions/8an4_A/seed_42/predictions/8an4_A_sample_0.cif
8arl_A,eval-val,protenix_v2_msa,0.826145,0.835123,0.617457,1.878438,2077,msa/msa/8arl_A/predictions/8arl_A/seed_42/predictions/8arl_A_sample_0.cif
8au6_A,eval-val,protenix_v2_msa,0.900216,0.901549,0.430444,4.42423,1799,msa/msa/8au6_A/predictions/8au6_A/seed_42/predictions/8au6_A_sample_0.cif
8axj_A,eval-val,protenix_v2_msa,0.870671,0.975147,0.96118,0.576228,1270,msa/msa/8axj_A/predictions/8axj_A/seed_42/predictions/8axj_A_sample_0.cif
8axs_A,eval-test,protenix_v2_msa,0.909612,0.996202,0.985602,0.302673,4507,msa/msa/8axs_A/predictions/8axs_A/seed_42/predictions/8axs_A_sample_0.cif
8azb_A,eval-val,protenix_v2_msa,0.898278,0.833962,0.46507,2.255904,4029,msa/msa/8azb_A/predictions/8azb_A/seed_42/predictions/8azb_A_sample_0.cif
8b2e_A,eval-val,protenix_v2_msa,0.928953,0.993963,0.996454,0.199978,1044,msa/msa/8b2e_A/predictions/8b2e_A/seed_42/predictions/8b2e_A_sample_0.cif
8b2g_A,eval-val,protenix_v2_msa,0.93055,0.983661,0.989865,0.231344,543,msa/msa/8b2g_A/predictions/8b2g_A/seed_42/predictions/8b2g_A_sample_0.cif
8b2s_A,eval-val,protenix_v2_msa,0.86838,0.653235,0.146875,5.890848,1805,msa/msa/8b2s_A/predictions/8b2s_A/seed_42/predictions/8b2s_A_sample_0.cif
8b4u_A,eval-val,protenix_v2_msa,0.913123,0.987302,0.981413,0.517478,2119,msa/msa/8b4u_A/predictions/8b4u_A/seed_42/predictions/8b4u_A_sample_0.cif
8b5w_A,eval-val,protenix_v2_msa,0.908322,0.989443,0.972543,0.449523,2723,msa/msa/8b5w_A/predictions/8b5w_A/seed_42/predictions/8b5w_A_sample_0.cif
8b61_A,eval-val,protenix_v2_msa,0.88537,0.958316,0.899746,0.712535,1572,msa/msa/8b61_A/predictions/8b61_A/seed_42/predictions/8b61_A_sample_0.cif
8b6a_A,eval-val,protenix_v2_msa,0.932546,0.989615,0.98,0.303344,1332,msa/msa/8b6a_A/predictions/8b6a_A/seed_42/predictions/8b6a_A_sample_0.cif
8b6e_A,eval-val,protenix_v2_msa,0.838811,0.901426,0.913462,1.055559,401,msa/msa/8b6e_A/predictions/8b6e_A/seed_42/predictions/8b6e_A_sample_0.cif
8baq_A,eval-val,protenix_v2_msa,0.818427,0.928797,0.882212,1.3098,1704,msa/msa/8baq_A/predictions/8baq_A/seed_42/predictions/8baq_A_sample_0.cif
8bau_A,eval-val,protenix_v2_msa,0.88228,0.974778,0.965608,0.601099,1536,msa/msa/8bau_A/predictions/8bau_A/seed_42/predictions/8bau_A_sample_0.cif
8bfy_A,eval-val,protenix_v2_msa,0.842663,0.841761,0.507634,2.006168,2974,msa/msa/8bfy_A/predictions/8bfy_A/seed_42/predictions/8bfy_A_sample_0.cif
8bgb_A,eval-val,protenix_v2_msa,0.884241,0.975036,0.971154,0.69019,979,msa/msa/8bgb_A/predictions/8bgb_A/seed_42/predictions/8bgb_A_sample_0.cif
8bke_A,eval-val,protenix_v2_msa,0.881927,0.983642,0.956776,0.725211,3237,msa/msa/8bke_A/predictions/8bke_A/seed_42/predictions/8bke_A_sample_0.cif
8bsb_A,eval-val,protenix_v2_msa,0.853547,0.9533,0.894654,0.682386,1267,msa/msa/8bsb_A/predictions/8bsb_A/seed_42/predictions/8bsb_A_sample_0.cif
8bux_A,eval-val,protenix_v2_msa,0.810636,0.930888,0.83564,1.61722,2156,msa/msa/8bux_A/predictions/8bux_A/seed_42/predictions/8bux_A_sample_0.cif
8c4d_A,eval-val,protenix_v2_msa,0.931771,0.995801,1.0,0.190189,1469,msa/msa/8c4d_A/predictions/8c4d_A/seed_42/predictions/8c4d_A_sample_0.cif
8c4y_A,eval-val,protenix_v2_msa,0.905296,0.994294,0.988782,0.292199,2457,msa/msa/8c4y_A/predictions/8c4y_A/seed_42/predictions/8c4y_A_sample_0.cif
8cba_A,eval-val,protenix_v2_msa,0.864772,0.975187,0.958974,0.875924,1662,msa/msa/8cba_A/predictions/8cba_A/seed_42/predictions/8cba_A_sample_0.cif
8ci9_A,eval-val,protenix_v2_msa,0.844304,0.965056,0.910948,0.950761,2377,msa/msa/8ci9_A/predictions/8ci9_A/seed_42/predictions/8ci9_A_sample_0.cif
8cih_A,eval-val,protenix_v2_msa,0.834956,0.860357,0.582447,2.30075,1464,msa/msa/8cih_A/predictions/8cih_A/seed_42/predictions/8cih_A_sample_0.cif
8cjd_A,eval-test,protenix_v2_msa,0.87199,0.985004,0.920079,0.684764,5264,msa/msa/8cjd_A/predictions/8cjd_A/seed_42/predictions/8cjd_A_sample_0.cif
8cpk_A,eval-val,protenix_v2_msa,0.897213,0.993294,0.984375,0.363116,2724,msa/msa/8cpk_A/predictions/8cpk_A/seed_42/predictions/8cpk_A_sample_0.cif
8cpn_A,eval-val,protenix_v2_msa,0.868876,0.954745,0.933962,0.796467,1273,msa/msa/8cpn_A/predictions/8cpn_A/seed_42/predictions/8cpn_A_sample_0.cif
8d2z_A,eval-val,protenix_v2_msa,0.901632,0.981524,0.949346,0.543841,2349,msa/msa/8d2z_A/predictions/8d2z_A/seed_42/predictions/8d2z_A_sample_0.cif
8daj_A,eval-val,protenix_v2_msa,0.927405,0.98049,0.96606,0.822677,2278,msa/msa/8daj_A/predictions/8daj_A/seed_42/predictions/8daj_A_sample_0.cif
8dez_A,eval-val,protenix_v2_msa,0.859722,0.931947,0.859827,1.431516,1331,msa/msa/8dez_A/predictions/8dez_A/seed_42/predictions/8dez_A_sample_0.cif
8dge_A,eval-val,protenix_v2_msa,0.891996,0.990513,0.941655,0.537021,5658,msa/msa/8dge_A/predictions/8dge_A/seed_42/predictions/8dge_A_sample_0.cif
8dhj_A,eval-val,protenix_v2_msa,0.866636,0.922996,0.745763,1.568116,1924,msa/msa/8dhj_A/predictions/8dhj_A/seed_42/predictions/8dhj_A_sample_0.cif
8dmu_A,eval-val,protenix_v2_msa,0.910259,0.995368,0.98792,0.324804,3715,msa/msa/8dmu_A/predictions/8dmu_A/seed_42/predictions/8dmu_A_sample_0.cif
8dp9_A,eval-val,protenix_v2_msa,0.757552,0.899638,0.81203,1.434942,1057,msa/msa/8dp9_A/predictions/8dp9_A/seed_42/predictions/8dp9_A_sample_0.cif
8dqd_A,eval-val,protenix_v2_msa,0.871839,0.95874,0.80473,0.862126,2887,msa/msa/8dqd_A/predictions/8dqd_A/seed_42/predictions/8dqd_A_sample_0.cif
8dx0_A,eval-val,protenix_v2_msa,0.827931,0.942338,0.911871,1.022857,1115,msa/msa/8dx0_A/predictions/8dx0_A/seed_42/predictions/8dx0_A_sample_0.cif
8e0r_A,eval-val,protenix_v2_msa,0.87315,0.97155,0.922249,1.320873,3370,msa/msa/8e0r_A/predictions/8e0r_A/seed_42/predictions/8e0r_A_sample_0.cif
8e5h_A,eval-val,protenix_v2_msa,0.922907,0.994852,0.990489,0.298114,2763,msa/msa/8e5h_A/predictions/8e5h_A/seed_42/predictions/8e5h_A_sample_0.cif
8eb9_A,eval-val,protenix_v2_msa,0.497436,0.568043,0.331461,4.626544,653,msa/msa/8eb9_A/predictions/8eb9_A/seed_42/predictions/8eb9_A_sample_0.cif
8ec3_A,eval-val,protenix_v2_msa,0.845996,0.892655,0.633871,2.239523,1229,msa/msa/8ec3_A/predictions/8ec3_A/seed_42/predictions/8ec3_A_sample_0.cif
8eo5_A,eval-val,protenix_v2_msa,0.904461,0.985928,0.97037,0.484308,2025,msa/msa/8eo5_A/predictions/8eo5_A/seed_42/predictions/8eo5_A_sample_0.cif
8eov_A,eval-denovo,protenix_v2_msa,0.84996,0.951296,0.92446,0.62552,1181,msa/msa/8eov_A/predictions/8eov_A/seed_42/predictions/8eov_A_sample_0.cif
8es6_A,eval-test,protenix_v2_msa,0.899848,0.9836,0.958721,0.790225,3349,msa/msa/8es6_A/predictions/8es6_A/seed_42/predictions/8es6_A_sample_0.cif
8ev4_A,eval-test,protenix_v2_msa,0.92634,0.98038,0.982609,0.67021,835,msa/msa/8ev4_A/predictions/8ev4_A/seed_42/predictions/8ev4_A_sample_0.cif
8ew1_A,eval-test,protenix_v2_msa,0.905371,0.988509,0.982955,0.514319,2215,msa/msa/8ew1_A/predictions/8ew1_A/seed_42/predictions/8ew1_A_sample_0.cif
8ew9_A,eval-test,protenix_v2_msa,0.794155,0.914306,0.826763,1.334477,1857,msa/msa/8ew9_A/predictions/8ew9_A/seed_42/predictions/8ew9_A_sample_0.cif
8ey3_A,eval-test,protenix_v2_msa,0.948926,0.98217,1.0,0.204917,446,msa/msa/8ey3_A/predictions/8ey3_A/seed_42/predictions/8ey3_A_sample_0.cif
8ez6_A,eval-test,protenix_v2_msa,0.877033,0.943571,0.961538,0.616031,512,msa/msa/8ez6_A/predictions/8ez6_A/seed_42/predictions/8ez6_A_sample_0.cif
8ezw_A,eval-test,protenix_v2_msa,0.848098,0.950818,0.920455,0.718578,1051,msa/msa/8ezw_A/predictions/8ezw_A/seed_42/predictions/8ezw_A_sample_0.cif
8f8n_A,eval-test,protenix_v2_msa,0.857603,0.964788,0.939189,0.768465,1168,msa/msa/8f8n_A/predictions/8f8n_A/seed_42/predictions/8f8n_A_sample_0.cif
8f9o_A,eval-test,protenix_v2_msa,0.910391,0.993873,0.979466,0.36961,3864,msa/msa/8f9o_A/predictions/8f9o_A/seed_42/predictions/8f9o_A_sample_0.cif
8fbc_A,eval-test,protenix_v2_msa,0.857616,0.959836,0.835878,0.960372,3100,msa/msa/8fbc_A/predictions/8fbc_A/seed_42/predictions/8fbc_A_sample_0.cif
8fib_A,eval-test,protenix_v2_msa,0.853307,0.976733,0.907297,0.709058,3256,msa/msa/8fib_A/predictions/8fib_A/seed_42/predictions/8fib_A_sample_0.cif
8fjf_A,eval-denovo,protenix_v2_msa,0.861862,0.974102,0.968504,0.404621,978,msa/msa/8fjf_A/predictions/8fjf_A/seed_42/predictions/8fjf_A_sample_0.cif
8fr5_A,eval-test,protenix_v2_msa,0.8167,0.888724,0.817935,1.380994,736,msa/msa/8fr5_A/predictions/8fr5_A/seed_42/predictions/8fr5_A_sample_0.cif
8fty_A,eval-test,protenix_v2_msa,0.903687,0.991831,0.969979,0.45891,3835,msa/msa/8fty_A/predictions/8fty_A/seed_42/predictions/8fty_A_sample_0.cif
8fz8_A,eval-test,protenix_v2_msa,0.86506,0.977165,0.913462,0.700897,3071,msa/msa/8fz8_A/predictions/8fz8_A/seed_42/predictions/8fz8_A_sample_0.cif
8fz9_A,eval-test,protenix_v2_msa,0.863207,0.94726,0.919118,1.113425,1071,msa/msa/8fz9_A/predictions/8fz9_A/seed_42/predictions/8fz9_A_sample_0.cif
8g0n_A,eval-test,protenix_v2_msa,0.92306,0.994415,0.991736,0.251798,1915,msa/msa/8g0n_A/predictions/8g0n_A/seed_42/predictions/8g0n_A_sample_0.cif
8g1l_A,eval-test,protenix_v2_msa,0.874894,0.96378,0.921627,0.815951,1918,msa/msa/8g1l_A/predictions/8g1l_A/seed_42/predictions/8g1l_A_sample_0.cif
8g1y_A,eval-test,protenix_v2_msa,0.893191,0.983934,0.920363,0.612435,3790,msa/msa/8g1y_A/predictions/8g1y_A/seed_42/predictions/8g1y_A_sample_0.cif
8g32_A,eval-test,protenix_v2_msa,0.791064,0.903063,0.642966,5.093208,2515,msa/msa/8g32_A/predictions/8g32_A/seed_42/predictions/8g32_A_sample_0.cif
8g52_A,eval-test,protenix_v2_msa,0.910197,0.989801,0.972222,0.368026,2153,msa/msa/8g52_A/predictions/8g52_A/seed_42/predictions/8g52_A_sample_0.cif
8g53_A,eval-test,protenix_v2_msa,0.884199,0.968082,0.929348,0.569186,1358,msa/msa/8g53_A/predictions/8g53_A/seed_42/predictions/8g53_A_sample_0.cif
8g5u_A,eval-test,protenix_v2_msa,0.871181,0.984892,0.940748,0.594789,3715,msa/msa/8g5u_A/predictions/8g5u_A/seed_42/predictions/8g5u_A_sample_0.cif
8g64_A,eval-test,protenix_v2_msa,0.873799,0.945235,0.902367,0.988276,1352,msa/msa/8g64_A/predictions/8g64_A/seed_42/predictions/8g64_A_sample_0.cif
8gac_A,eval-denovo,protenix_v2_msa,0.829282,0.942818,0.927184,0.611239,864,msa/msa/8gac_A/predictions/8gac_A/seed_42/predictions/8gac_A_sample_0.cif
8gbe_A,eval-test,protenix_v2_msa,0.782791,0.879093,0.502439,4.529364,1658,msa/msa/8gbe_A/predictions/8gbe_A/seed_42/predictions/8gbe_A_sample_0.cif
8gdl_A,eval-test,protenix_v2_msa,0.892314,0.98875,0.957746,0.426566,2727,msa/msa/8gdl_A/predictions/8gdl_A/seed_42/predictions/8gdl_A_sample_0.cif
8gj9_A,eval-test,protenix_v2_msa,0.853326,0.962238,0.987903,0.450226,492,msa/msa/8gj9_A/predictions/8gj9_A/seed_42/predictions/8gj9_A_sample_0.cif
8gjw_A,eval-test,protenix_v2_msa,0.878924,0.984703,0.950867,0.508946,2857,msa/msa/8gjw_A/predictions/8gjw_A/seed_42/predictions/8gjw_A_sample_0.cif
8gjy_A,eval-test,protenix_v2_msa,0.783903,0.895549,0.680233,1.860891,2853,msa/msa/8gjy_A/predictions/8gjy_A/seed_42/predictions/8gjy_A_sample_0.cif
8gkd_A,eval-test,protenix_v2_msa,0.906381,0.993401,0.986544,0.327129,2829,msa/msa/8gkd_A/predictions/8gkd_A/seed_42/predictions/8gkd_A_sample_0.cif
8gm7_A,eval-test,protenix_v2_msa,0.858627,0.96007,0.934524,0.909192,1288,msa/msa/8gm7_A/predictions/8gm7_A/seed_42/predictions/8gm7_A_sample_0.cif
8gmy_A,eval-val,protenix_v2_msa,0.787309,0.91844,0.819635,1.326868,1775,msa/msa/8gmy_A/predictions/8gmy_A/seed_42/predictions/8gmy_A_sample_0.cif
8gok_A,eval-test,protenix_v2_msa,0.868157,0.850065,0.576007,1.679218,2207,msa/msa/8gok_A/predictions/8gok_A/seed_42/predictions/8gok_A_sample_0.cif
8gqq_A,eval-test,protenix_v2_msa,0.86215,0.905665,0.651515,2.391331,762,msa/msa/8gqq_A/predictions/8gqq_A/seed_42/predictions/8gqq_A_sample_0.cif
8gr7_A,eval-test,protenix_v2_msa,0.903896,0.994544,0.986963,0.285146,2622,msa/msa/8gr7_A/predictions/8gr7_A/seed_42/predictions/8gr7_A_sample_0.cif
8gsy_A,eval-test,protenix_v2_msa,0.751798,0.877365,0.797619,1.273817,994,msa/msa/8gsy_A/predictions/8gsy_A/seed_42/predictions/8gsy_A_sample_0.cif
8gtz_A,eval-test,protenix_v2_msa,0.846462,0.968725,0.87013,0.929105,3600,msa/msa/8gtz_A/predictions/8gtz_A/seed_42/predictions/8gtz_A_sample_0.cif
8h02_A,eval-test,protenix_v2_msa,0.866475,0.941247,0.939873,0.509243,597,msa/msa/8h02_A/predictions/8h02_A/seed_42/predictions/8h02_A_sample_0.cif
8h2f_A,eval-test,protenix_v2_msa,0.895918,0.985043,0.979651,0.426453,1405,msa/msa/8h2f_A/predictions/8h2f_A/seed_42/predictions/8h2f_A_sample_0.cif
8h5s_A,eval-test,protenix_v2_msa,0.883875,0.984374,0.959514,0.429286,1847,msa/msa/8h5s_A/predictions/8h5s_A/seed_42/predictions/8h5s_A_sample_0.cif
8hbt_A,eval-test,protenix_v2_msa,0.808629,0.950009,0.835847,1.214805,3399,msa/msa/8hbt_A/predictions/8hbt_A/seed_42/predictions/8hbt_A_sample_0.cif
8hd2_A,eval-test,protenix_v2_msa,0.816712,0.749216,0.082803,9.239025,2571,msa/msa/8hd2_A/predictions/8hd2_A/seed_42/predictions/8hd2_A_sample_0.cif
8he1_A,eval-test,protenix_v2_msa,0.914747,0.993831,0.994444,0.256887,1794,msa/msa/8he1_A/predictions/8he1_A/seed_42/predictions/8he1_A_sample_0.cif
8hel_A,eval-test,protenix_v2_msa,0.866316,0.90498,0.852941,1.18219,539,msa/msa/8hel_A/predictions/8hel_A/seed_42/predictions/8hel_A_sample_0.cif
8hic_A,eval-test,protenix_v2_msa,0.898993,0.965705,0.831013,0.795541,3071,msa/msa/8hic_A/predictions/8hic_A/seed_42/predictions/8hic_A_sample_0.cif
8hnq_A,eval-test,protenix_v2_msa,0.897949,0.979659,0.971154,1.057163,2210,msa/msa/8hnq_A/predictions/8hnq_A/seed_42/predictions/8hnq_A_sample_0.cif
